season,player,team,age,PA,AB,H,1B,2B,3B,HR,BB,HBP,SO,AVG,OBP,SLG,OPS,BB_pct,K_pct,HR_pct,BABIP,SB,CS,SB_attempt_pct,SB_success,source
2025,Sung-Mun Song,WOI,28,646,574,181,114,37,4,26,68,1,96,.315,.387,.530,.917,,,,,25,2,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Victor Reyes,LTG,30,643,573,187,129,44,1,13,58,3,66,.326,.386,.475,.860,,,,,7,1,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Lewin Diaz,SAM,28,628,551,173,91,32,0,50,60,6,100,.314,.381,.644,1.025,,,,,1,0,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Ju Won Kim,NCD,22,624,539,156,107,26,8,15,63,16,111,.289,.379,.451,.830,,,,,44,11,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Si Hwan Roh,HWA,24,624,539,140,78,28,2,32,70,11,125,.260,.354,.497,.851,,,,,14,5,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Ja Wook Koo,SAM,32,616,529,169,105,43,2,19,73,5,91,.319,.402,.516,.918,,,,,4,1,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Austin Dean,LGK,31,499,425,133,76,25,1,31,61,2,62,.313,.393,.595,.988,,,,,3,0,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Hyun Min Ahn,WIZ,21,482,395,132,87,19,4,22,75,9,72,.334,.448,.570,1.018,,,,,7,1,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Seong Yoon Kim,SAM,26,538,456,151,107,29,9,6,65,5,54,.331,.419,.474,.892,,,,,26,7,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Ui-ji Yang,DOO,38,517,454,153,105,27,1,20,50,7,63,.337,.406,.533,.939,,,,,4,2,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Guillermo Heredia,SSG,34,415,375,127,96,18,0,13,31,7,62,.339,.398,.491,.888,,,,,1,2,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Hae Min Park,LGK,35,544,442,122,99,18,2,3,68,8,94,.276,.379,.346,.725,,,,,49,14,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Jun Jae Jeong,SSG,22,442,371,91,78,10,3,0,51,3,93,.245,.340,.288,.629,,,,,37,8,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Patrick Wisdom,KIA,33,486,424,100,44,20,1,35,52,4,142,.236,.321,.535,.856,,,,,3,0,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Matt Davidson,NCD,34,439,386,113,59,18,0,36,31,8,118,.293,.346,.619,.965,,,,,1,0,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Young Woong Kim,SAM,21,499,446,111,65,22,2,22,48,2,143,.249,.323,.455,.778,,,,,6,2,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
2025,Sun Woo Oh,KIA,28,474,437,116,80,17,1,18,34,3,158,.265,.323,.432,.755,,,,,0,2,,,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=bat
