season,player,team,age,G,GS,IP,BF,H,HR,BB,SO,ERA,K_pct,BB_pct,HR_pct,OPP_AVG,OPP_SLG,BABIP,rate_context,source
2025,Cody Ponce,HWA,31,29,29,180.2,697,128,10,41,252,1.89,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Riley Thompson,NCD,28,30,30,172.0,709,136,18,56,216,3.45,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Ryan Weiss,HRO,28,30,30,178.2,725,127,13,56,207,2.87,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Ariel Jurado,KIT,29,30,30,197.1,786,177,17,36,142,2.60,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Yonny Chirinos,LGK,31,30,30,177.0,737,173,5,36,137,3.31,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Drew Anderson,SSG,31,30,30,171.2,694,121,13,51,245,2.25,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Tae In Won,SAM,25,27,27,166.2,671,157,20,27,108,3.24,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Chan Kyu Im,LGK,32,27,27,160.1,670,163,9,40,107,3.03,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Young Pyo Ko,WIZ,33,29,26,161.0,685,170,10,30,154,3.30,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Dong Ju Moon,HWA,22,24,23,121.0,501,112,7,31,135,4.02,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Won Seok Oh,WIZ,24,25,25,132.1,565,130,10,52,113,3.67,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Adam Oller,KIA,30,26,26,149.0,620,125,8,47,169,3.62,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Hyeon-jong Yang,KIA,37,30,30,153.0,677,171,12,57,109,5.06,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Kwang Hyun Kim,SSG,37,28,28,144.0,636,164,13,50,138,5.00,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Hyeong Jun So,WIZ,24,26,24,147.1,617,155,6,29,123,3.30,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Tucker Davidson,LTG,29,22,22,123.1,529,123,10,48,119,3.65,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Hyun Jin Ryu,HWA,38,26,26,139.1,574,144,12,25,122,3.23,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Seung Ki Song,LGK,23,28,27,144.0,629,149,15,49,125,3.50,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Seung Yong Choi,DOO,24,23,23,116.1,507,121,8,36,71,4.41,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
2025,Won Joon Choi,DOO,30,47,16,107.0,456,105,18,38,62,4.71,,,,,,,counts from public full-season leader table,https://www.baseball-reference.com/register/leader.cgi?id=4e296e3b&type=pitch
