name,team,contact,power,discipline,speed,defense,throwing,stamina,durability,mentality,talent,target_ops,mc1000_ops,fit_status,fit_error,events_enabled,growth_model
박성한,SSG 랜더스,168,35,220,60,93,100,102,100,100,100,0.877,0.8989,good,0.822,false,legacy_v0.2_strong_auto_growth
박해민,LG 트윈스,128,35,122,200,104,100,102,100,100,100,0.7397,0.8152,usable,1.158,false,legacy_v0.2_strong_auto_growth
오스틴,LG 트윈스,149,201,162,44,92,100,102,100,100,100,1.0673,1.0653,good,0.416,false,legacy_v0.2_strong_auto_growth
최지훈,SSG 랜더스,104,86,102,191,103,100,102,100,100,100,0.712,0.7435,usable,1.144,false,legacy_v0.2_strong_auto_growth
정준재,SSG 랜더스,120,35,134,166,101,100,102,100,100,100,0.6989,0.7749,usable,1.261,false,legacy_v0.2_strong_auto_growth
디아즈,삼성 라이온즈,127,102,153,35,91,100,102,100,100,100,0.8552,0.874,good,0.523,false,legacy_v0.2_strong_auto_growth
레이예스,롯데 자이언츠,155,79,115,35,91,100,102,100,100,100,0.9246,0.9436,good,0.528,false,legacy_v0.2_strong_auto_growth
김도영,KIA 타이거즈,132,240,178,90,95,100,102,100,100,100,1.0224,0.9931,usable,1.006,false,legacy_v0.2_strong_auto_growth
박찬호,두산 베어스,119,35,123,200,104,100,102,100,100,100,0.7316,0.7679,good,0.745,false,legacy_v0.2_strong_auto_growth
페라자,한화 이글스,130,124,220,104,96,100,102,100,100,100,0.9235,0.9268,good,0.448,false,legacy_v0.2_strong_auto_growth
정수빈,두산 베어스,114,35,136,190,103,100,102,100,100,100,0.7089,0.7501,good,0.927,false,legacy_v0.2_strong_auto_growth
김호령,KIA 타이거즈,95,105,67,169,102,100,102,100,100,100,0.7432,0.7134,usable,1.024,false,legacy_v0.2_strong_auto_growth
구본혁,LG 트윈스,119,35,90,62,93,100,102,100,100,100,0.6441,0.7536,usable,1.549,false,legacy_v0.2_strong_auto_growth
신민재,LG 트윈스,109,35,127,131,98,100,102,100,100,100,0.5761,0.7168,engine_limited,2.065,false,legacy_v0.2_strong_auto_growth
문현빈,한화 이글스,131,71,144,106,96,100,102,100,100,100,0.8285,0.8528,usable,1.004,false,legacy_v0.2_strong_auto_growth
김지찬,삼성 라이온즈,183,35,220,150,100,100,102,100,100,100,0.7872,0.9435,engine_limited,2.428,false,legacy_v0.2_strong_auto_growth
힐리어드,KT 위즈,112,240,112,114,97,100,102,100,100,100,0.9669,0.8938,usable,1.636,false,legacy_v0.2_strong_auto_growth
전민재,롯데 자이언츠,103,74,76,133,99,100,102,100,100,100,0.7186,0.7119,good,0.276,false,legacy_v0.2_strong_auto_growth
양의지,두산 베어스,117,87,129,35,91,100,102,100,100,100,0.7739,0.7987,usable,1.381,false,legacy_v0.2_strong_auto_growth
류지혁,삼성 라이온즈,126,35,150,200,104,100,101,99,100,100,0.7805,0.8059,good,0.841,false,legacy_v0.2_strong_auto_growth
김현수,KT 위즈,121,50,116,35,91,100,101,99,100,100,0.7478,0.7725,usable,1.137,false,legacy_v0.2_strong_auto_growth
나성범,KIA 타이거즈,115,221,132,35,91,100,101,99,100,100,0.9405,0.9008,usable,1.132,false,legacy_v0.2_strong_auto_growth
김건희,키움 히어로즈,100,91,99,35,91,100,101,99,100,100,0.7316,0.7069,good,0.852,false,legacy_v0.2_strong_auto_growth
최형우,삼성 라이온즈,150,79,220,35,91,100,101,99,100,100,0.8984,0.9094,good,0.61,false,legacy_v0.2_strong_auto_growth
박재현,KIA 타이거즈,105,95,63,200,104,100,101,99,100,100,0.753,0.7652,good,0.393,false,legacy_v0.2_strong_auto_growth
오지환,LG 트윈스,102,70,129,81,94,100,101,99,100,100,0.6764,0.6978,good,0.482,false,legacy_v0.2_strong_auto_growth
김주원,NC 다이노스,126,68,112,200,104,100,101,99,100,100,0.8218,0.8418,good,0.782,false,legacy_v0.2_strong_auto_growth
손성빈,롯데 자이언츠,95,51,76,35,91,100,101,99,100,100,0.6215,0.6269,good,0.396,false,legacy_v0.2_strong_auto_growth
김선빈,KIA 타이거즈,126,35,171,35,91,100,101,99,100,100,0.6884,0.7782,usable,1.754,false,legacy_v0.2_strong_auto_growth
홍창기,LG 트윈스,109,35,209,63,93,100,101,99,100,100,0.6841,0.6978,good,0.744,false,legacy_v0.2_strong_auto_growth
