name,team,contact,power,discipline,speed,defense,throwing,stamina,durability,mentality,talent,target_avg,target_obp,target_slg,target_ops,target_hr_rate,target_bb_rate,target_k_rate,mc1000_avg,mc1000_obp,mc1000_slg,mc1000_ops,mc1000_hr_rate,mc1000_bb_rate,mc1000_k_rate,fit_error,fit_status,source_season,simulation_model
박성한,SSG 랜더스,132,34,164,62,93,100,102,100,100,100,0.3350,0.4300,0.4300,0.8600,0.007547,0.141509,0.137736,0.3469,0.4357,0.4291,0.8648,0.009362,0.131930,0.175615,8.470,good,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
박해민,LG 트윈스,111,24,111,133,104,100,102,100,100,100,0.2830,0.3690,0.3560,0.7250,0.008368,0.098326,0.110879,0.3007,0.3706,0.3936,0.7643,0.008330,0.096032,0.182033,28.850,engine_limited,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
오스틴,LG 트윈스,130,148,126,60,92,100,102,100,100,100,0.3410,0.4270,0.6630,1.0900,0.068053,0.117202,0.143667,0.3541,0.4288,0.6694,1.0982,0.063880,0.111755,0.157908,3.086,excellent,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
최지훈,SSG 랜더스,102,92,89,170,103,100,102,100,100,100,0.2460,0.3010,0.4040,0.7050,0.024490,0.069388,0.155102,0.2681,0.3167,0.4208,0.7375,0.023783,0.062778,0.193117,11.286,usable,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
정준재,SSG 랜더스,110,32,106,88,101,100,102,100,100,100,0.2740,0.3480,0.3420,0.6900,0.001996,0.093812,0.143713,0.2978,0.3615,0.3743,0.7359,0.008455,0.087100,0.180347,15.214,usable,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
디아즈,삼성 라이온즈,111,111,126,77,91,100,102,100,100,100,0.2990,0.3770,0.4980,0.8750,0.040000,0.112381,0.167619,0.2936,0.3791,0.5039,0.8830,0.039940,0.117233,0.195418,4.205,good,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
레이예스,롯데 자이언츠,127,88,100,60,91,100,102,100,100,100,0.3550,0.4070,0.5220,0.9290,0.027559,0.080709,0.112205,0.3638,0.4126,0.5263,0.9389,0.027975,0.073045,0.135337,3.704,excellent,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
김도영,KIA 타이거즈,116,170,139,95,95,100,102,100,100,100,0.3020,0.4050,0.6330,1.0380,0.076023,0.140351,0.167641,0.3093,0.4000,0.5987,0.9987,0.055947,0.127230,0.191760,19.000,usable,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
박찬호,두산 베어스,114,9,108,99,104,100,102,100,100,100,0.2930,0.3610,0.3870,0.7480,0.009881,0.094862,0.138340,0.3161,0.3798,0.4008,0.7805,0.008700,0.089417,0.170918,11.598,usable,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
페라자,한화 이글스,115,112,160,102,96,100,102,100,100,100,0.2890,0.4090,0.5050,0.9140,0.040900,0.165644,0.192229,0.3000,0.3986,0.5259,0.9245,0.040562,0.136810,0.204113,13.162,usable,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
정수빈,두산 베어스,104,48,107,115,103,100,102,100,100,100,0.2590,0.3390,0.3620,0.7010,0.015590,0.097996,0.151448,0.2709,0.3409,0.3542,0.6951,0.008232,0.092118,0.201407,13.901,usable,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
김호령,KIA 타이거즈,98,101,88,128,102,100,102,100,100,100,0.2740,0.3170,0.4270,0.7440,0.026915,0.057971,0.262940,0.2494,0.2991,0.4145,0.7136,0.028965,0.062505,0.207580,19.379,usable,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
구본혁,LG 트윈스,107,12,95,57,93,100,102,100,100,100,0.2850,0.3430,0.3130,0.6560,0.000000,0.071918,0.123288,0.2923,0.3443,0.3589,0.7032,0.008073,0.069795,0.179555,20.650,engine_limited,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
신민재,LG 트윈스,104,16,106,92,98,100,102,100,100,100,0.2590,0.3410,0.2800,0.6210,0.000000,0.102632,0.128947,0.2718,0.3401,0.3417,0.6818,0.007422,0.090113,0.199817,34.624,engine_limited,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
문현빈,한화 이글스,113,91,113,89,96,100,102,100,100,100,0.2980,0.3800,0.4650,0.8450,0.025243,0.106796,0.126214,0.3100,0.3805,0.4652,0.8457,0.025535,0.098433,0.177883,13.574,usable,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
김지찬,삼성 라이온즈,136,13,137,98,100,100,102,100,100,100,0.3330,0.4260,0.3810,0.8070,0.000000,0.128319,0.075221,0.3609,0.4406,0.4567,0.8973,0.009525,0.120880,0.160288,52.750,engine_limited,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
힐리어드,KT 위즈,108,165,122,89,97,100,102,100,100,100,0.2970,0.3650,0.5590,0.9240,0.061876,0.097804,0.285429,0.2832,0.3677,0.5446,0.9123,0.051737,0.114010,0.201727,38.665,engine_limited,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
전민재,롯데 자이언츠,102,86,91,71,99,100,102,100,100,100,0.2720,0.3210,0.3840,0.7050,0.019560,0.061125,0.200489,0.2681,0.3192,0.3839,0.7031,0.019473,0.066003,0.194082,1.173,excellent,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
양의지,두산 베어스,111,101,114,76,91,100,102,100,100,100,0.2610,0.3670,0.4540,0.8210,0.041215,0.112798,0.112798,0.2996,0.3724,0.4808,0.8532,0.033280,0.100097,0.185600,36.770,engine_limited,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
류지혁,삼성 라이온즈,112,43,116,128,104,100,101,99,100,100,0.2870,0.3740,0.3970,0.7710,0.011161,0.107143,0.145089,0.3029,0.3780,0.3988,0.7768,0.008910,0.103790,0.184583,8.915,good,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
김현수,KT 위즈,110,75,108,68,91,100,101,99,100,100,0.2750,0.3440,0.3920,0.7360,0.017717,0.088583,0.116142,0.2991,0.3648,0.4018,0.7665,0.014967,0.090007,0.182477,25.089,engine_limited,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
나성범,KIA 타이거즈,108,160,116,68,91,100,101,99,100,100,0.3020,0.3800,0.5520,0.9320,0.056156,0.103672,0.267819,0.2853,0.3631,0.5465,0.9096,0.053498,0.104967,0.195773,26.147,engine_limited,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
김건희,키움 히어로즈,100,96,100,68,91,100,101,99,100,100,0.2740,0.3270,0.4060,0.7330,0.020725,0.072539,0.259067,0.2546,0.3178,0.3923,0.7102,0.025152,0.080897,0.209988,14.968,usable,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
최형우,삼성 라이온즈,123,97,155,62,91,100,101,99,100,100,0.3220,0.4120,0.4950,0.9070,0.032922,0.131687,0.166667,0.3281,0.4194,0.5080,0.9274,0.031195,0.131807,0.185552,2.639,excellent,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
박재현,KIA 타이거즈,102,102,70,142,104,100,101,99,100,100,0.2910,0.3300,0.4660,0.7960,0.032468,0.054113,0.192641,0.2756,0.3119,0.4627,0.7746,0.033315,0.046473,0.178305,4.326,good,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
오지환,LG 트윈스,101,85,114,90,94,100,101,99,100,100,0.2320,0.3160,0.3580,0.6740,0.023499,0.096606,0.211488,0.2526,0.3341,0.3645,0.6986,0.017293,0.104935,0.218657,6.219,good,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
김주원,NC 다이노스,114,93,106,113,104,100,101,99,100,100,0.2970,0.3780,0.4600,0.8380,0.033730,0.085317,0.130952,0.3173,0.3787,0.4939,0.8726,0.028588,0.086142,0.168960,13.991,usable,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
손성빈,롯데 자이언츠,103,86,92,66,91,100,101,99,100,100,0.2580,0.3220,0.3800,0.7020,0.019608,0.071895,0.176471,0.2729,0.3242,0.3914,0.7156,0.020088,0.066817,0.191948,2.984,excellent,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
김선빈,KIA 타이거즈,114,15,125,44,91,100,101,99,100,100,0.2760,0.3770,0.3330,0.7100,0.002320,0.125290,0.097448,0.3054,0.3876,0.3745,0.7621,0.008213,0.114428,0.186972,46.706,engine_limited,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
홍창기,LG 트윈스,105,10,170,58,93,100,101,99,100,100,0.2470,0.3810,0.2930,0.6740,0.000000,0.143478,0.217391,0.2564,0.3650,0.3154,0.6804,0.006660,0.141707,0.234015,4.905,good,2026,pitch_by_pitch_stat_effect_scale_2.0_v2
