rank,avg_fastball_kmh,season,scope,source_url
1,142.2,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
2,145.2,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
3,149.9,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
4,152.8,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
5,151.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
6,148.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
7,152.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
8,149.5,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
9,143.3,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
10,147.0,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
11,145.6,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
12,133.9,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
13,144.8,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
14,147.3,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
15,141.8,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
16,140.3,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
17,145.5,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
18,145.6,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
19,149.8,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
20,139.8,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
21,144.1,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
22,143.3,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
23,134.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
24,141.2,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
25,143.0,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
26,142.8,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
27,149.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
28,145.3,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
29,145.3,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
30,145.6,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
31,143.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
32,152.1,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
33,152.6,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
34,142.8,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
35,139.6,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
36,151.4,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
37,150.6,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
38,144.9,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
39,143.9,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
40,144.0,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
