player,season,team,role,age,hand,avg_fastball_kmh,max_fastball_kmh,pitch_sample,source_kind,source_url,notes
MOON Dong Ju,2025,Hanwha,starter,22,R,152.3,,121.0 IP,Statiz-cited article,https://sports.news.nate.com/view/20260116n26163,2025 100+ IP starter average fastball list; max tracked separately in Yonhap supplementary source
GWAK Been,2025,Doosan,starter,26,R,151.4,,167.7 IP,Statiz-cited article,https://sports.news.nate.com/view/20260116n26163,2025 100+ IP starter average fastball list
CHOI Won Tae,2025,Samsung,starter,28,R,147.0,,100+ IP,Statiz-cited article,https://sports.news.nate.com/view/20260116n26163,2025 100+ IP starter average fastball list
PARK Se Woong,2025,Lotte,starter,29,R,147.0,,100+ IP,Statiz-cited article,https://sports.news.nate.com/view/20260116n26163,2025 100+ IP starter average fastball list
SON Ju Young,2025,LG,starter,26,L,146.6,,100+ IP,Statiz-cited article,https://sports.news.nate.com/view/20260116n26163,2025 100+ IP starter average fastball list
WON Tae In,2025,Samsung,starter,25,R,146.3,,100+ IP,Statiz-cited article,https://sports.news.nate.com/view/20260116n26163,2025 100+ IP starter average fastball list
KIM Do Hyeon,2025,KIA,starter,25,R,144.1,151,2152 tracked pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/1432/arsenal,Four-seam only
KIM Kwang Hyun,2025,SSG,starter,37,L,143.2,149,2575 tracked pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/2097/arsenal,Four-seam only
DAVIDSON Tucker,2025,Lotte,starter,29,L,145.0,152,2184 tracked pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/549/arsenal,Four-seam only
SONG Jae Young,2025,Lotte,reliever,23,L,139.5,145,518 tracked pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/223/arsenal,Four-seam only
PARK Si Young,2025,Lotte,reliever,36,R,142.3,147,169 tracked pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/614/arsenal,Four-seam only
KO Hyo Jun,2025,Doosan,reliever,42,L,144.3,148,454 tracked pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/1683/arsenal,Four-seam only
KIM Dae Ho,2025,Samsung,reliever,24,R,141.6,148,521 tracked pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/445/arsenal,Four-seam only
OH Seung Hwan,2025,Samsung,reliever,43,R,142.0,,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/1917/docs,Four-seam only
PARK Jun Hyun,2026,Kiwoom,starter,19,R,151.0,159,1587 tracked pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/6568/arsenal,Supplementary current-season role/age sample
KIM Nok Won,2026,NC,starter,23,R,141.9,146,107 tracked pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/341/arsenal,Supplementary current-season role/age sample
CHOI Won Tae,2026,Samsung,starter,29,R,143.7,152,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/1033/arsenal,Supplementary current-season role/age sample
KIM Tae Hyeong,2026,KIA,starter,19,R,146.1,,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/553/docs,Supplementary current-season role/age sample
KIM Young Woo,2026,LG,reliever,21,R,149.4,156,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/508/arsenal,Supplementary current-season role/age sample
HONG Min Ki,2026,Lotte,reliever,25,L,149.3,155,172 tracked pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/132/arsenal,Supplementary current-season role/age sample
