delta,passed,penalty,1R,2-3R,4-7R,8-11R,undrafted
0.0,True,0,14.12,15.84,30.64,29.23,10.17
0.1,True,0,14.03,15.71,30.6,29.23,10.43
0.2,True,0,13.89,15.49,30.57,29.42,10.63
0.3,True,0,13.74,15.26,30.68,29.52,10.8
0.4,True,0,13.61,15.13,30.62,29.59,11.05
0.5,True,0,13.45,14.99,30.66,29.65,11.25
0.6,True,0,13.33,14.87,30.48,29.83,11.49
0.7,True,0,13.25,14.73,30.37,29.87,11.78
0.8,True,0,13.14,14.61,30.3,29.95,12.0
0.9,True,0,12.98,14.49,30.37,29.84,12.32
1.0,False,0.00010000000000003127,12.86,14.33,30.29,30.01,12.51
1.1,False,0.006399999999999727,12.78,14.13,30.26,30.08,12.75
1.2,False,0.07840000000000064,12.62,14.11,30.11,30.28,12.88
1.3,False,0.1295999999999996,12.46,14.05,30.07,30.36,13.06
1.4,False,0.15210000000000046,12.31,13.98,30.04,30.39,13.28
1.5,False,0.24009999999999848,12.19,13.92,29.89,30.49,13.51
1.6,False,0.47610000000000174,12.08,13.82,29.7,30.69,13.71
1.7,False,0.4356000000000002,11.97,13.71,29.66,30.66,14.0
1.8,False,0.7225000000000024,11.85,13.62,29.52,30.85,14.16
1.9,False,1.2544000000000022,11.7,13.55,29.34,31.12,14.29
2.0,False,1.4883999999999973,11.56,13.42,29.32,31.22,14.48
2.1,False,1.7955999999999996,11.45,13.32,29.2,31.34,14.69
2.2,False,1.8495999999999984,11.34,13.3,29.13,31.36,14.87
2.3,False,1.7424000000000008,11.16,13.29,29.08,31.32,15.15
2.4,False,1.959999999999996,11.03,13.19,28.96,31.4,15.42
2.5,False,2.2200999999999955,10.91,13.04,28.92,31.49,15.64
2.6,False,2.7224999999999953,10.83,12.91,28.8,31.65,15.81
2.7,False,3.459599999999998,10.71,12.88,28.58,31.86,15.97
2.8,False,3.763600000000005,10.61,12.71,28.51,31.94,16.23
2.9,False,3.422500000000005,10.54,12.52,28.59,31.85,16.5
3.0,False,3.802499999999997,10.42,12.52,28.41,31.95,16.7
3.1,False,3.6864000000000066,10.27,12.44,28.37,31.92,17.0
3.2,False,3.960099999999994,10.15,12.41,28.24,31.99,17.21
3.3,False,3.8416000000000032,9.99,12.32,28.32,31.96,17.41
3.4,False,4.452099999999998,9.89,12.15,28.27,32.11,17.58
3.5,False,5.203300000000005,9.79,11.93,28.29,32.28,17.71
3.6,False,5.218000000000005,9.72,11.86,28.16,32.28,17.98
3.7,False,5.904199999999984,9.66,11.69,27.99,32.41,18.25
3.8,False,6.990400000000008,9.56,11.52,27.81,32.6,18.51
3.9,False,7.219600000000003,9.46,11.5,27.65,32.64,18.75
4.0,False,7.53850000000001,9.4,11.36,27.59,32.67,18.98
4.1,False,7.393000000000013,9.28,11.31,27.48,32.63,19.3
4.2,False,8.125299999999983,9.18,11.18,27.35,32.73,19.56
4.3,False,8.779700000000012,9.11,11.06,27.22,32.81,19.8
4.4,False,9.013300000000001,9.05,10.97,27.1,32.82,20.06
4.5,False,9.041000000000015,8.95,10.93,26.89,32.81,20.42
4.6,False,10.60420000000001,8.89,10.71,26.82,32.99,20.59
4.7,False,10.925299999999982,8.85,10.57,26.75,32.98,20.85
4.8,False,12.078499999999988,8.77,10.39,26.61,33.08,21.15
4.9,False,12.152500000000014,8.66,10.33,26.51,33.06,21.44
5.0,False,12.778599999999988,8.57,10.31,26.26,33.15,21.71
5.1,False,13.644499999999994,8.44,10.19,26.14,33.22,22.01
5.2,False,14.341000000000022,8.35,10.09,26.0,33.27,22.29
5.3,False,14.653000000000022,8.28,10.01,25.87,33.27,22.57
5.4,False,15.545300000000015,8.2,9.97,25.58,33.38,22.87
5.5,False,16.216999999999995,8.11,9.89,25.43,33.43,23.14
5.6,False,17.20419999999999,8.05,9.79,25.22,33.51,23.43
5.7,False,16.7387,7.95,9.71,25.14,33.39,23.81
5.8,False,16.154999999999983,7.9,9.61,25.01,33.23,24.25
5.9,False,16.87339999999998,7.77,9.57,24.84,33.3,24.52
6.0,False,17.35440000000002,7.66,9.56,24.64,33.34,24.8
