version,age,stat,mean,sd,p01,p05,p10,p25,p50,p75,p90,p95,p99
before,18,contact,79.97183333333334,16.253224499738163,42.0,53.0,59.0,69.0,80.0,91.0,101.0,107.0,117.0
before,18,power,78.65053333333333,18.709767673122567,35.0,48.0,54.0,66.0,79.0,91.0,103.0,109.0,122.0
before,18,discipline,72.9533,16.07276326927016,36.0,47.0,52.0,62.0,73.0,84.0,94.0,100.0,110.0
before,18,speed,83.9034,21.23433858415813,35.0,49.0,57.0,70.0,84.0,98.0,111.0,119.0,133.0
before,20,contact,83.87476666666667,16.90063953263965,44.0,56.0,62.0,72.0,84.0,95.0,106.0,111.0,123.0
before,20,power,82.62743333333333,19.29592601420195,38.0,51.0,58.0,70.0,83.0,96.0,107.0,114.0,127.0
before,20,discipline,76.86703333333334,16.731400216326453,38.0,50.0,56.0,66.0,77.0,88.0,98.0,105.0,116.0
before,20,speed,87.7959,21.74461258618634,37.0,52.0,60.0,73.0,88.0,103.0,116.0,123.0,138.0
before,22,contact,87.7128,17.60641311643762,46.99000000000001,59.0,65.0,76.0,88.0,100.0,110.0,116.0,128.0
before,22,power,86.567,19.8876153505978,40.0,54.0,61.0,73.0,87.0,100.0,112.0,119.0,132.0
before,22,discipline,80.77706666666667,17.47546567988644,40.0,52.0,59.0,69.0,81.0,92.0,103.0,110.0,122.0
before,22,speed,91.7163,22.33852906922626,39.0,55.0,63.0,77.0,92.0,107.0,120.0,128.0,143.0
before,24,contact,90.71346666666666,18.39352871661359,48.0,60.0,67.0,78.0,91.0,103.0,114.0,121.0,133.0
before,24,power,89.54526666666666,20.564570283108004,42.0,56.0,63.0,76.0,90.0,103.0,116.0,123.0,137.0
before,24,discipline,83.7972,18.244884365030472,41.0,54.0,61.0,72.0,84.0,96.0,107.10000000000218,114.0,126.0
before,24,speed,94.70583333333333,22.909364154690593,41.0,57.0,65.0,79.0,95.0,110.0,124.0,132.0,148.0
before,26,contact,92.8566,19.059451804988168,48.0,61.0,68.0,80.0,93.0,106.0,117.0,124.0,137.0
before,26,power,91.7074,21.171938627343504,43.0,57.0,64.0,77.0,92.0,106.0,119.0,126.0,141.0
before,26,discipline,85.91136666666667,18.91369814355605,41.0,55.0,62.0,73.0,86.0,99.0,110.0,117.0,130.0
before,26,speed,96.8226,23.392259315993115,42.0,58.0,67.0,81.0,97.0,113.0,127.0,135.0,150.0
before,28,contact,95.06036666666667,19.695193725007012,49.0,62.0,70.0,82.0,95.0,108.0,120.0,127.0,141.0
before,28,power,93.89576666666666,21.740801167671403,44.0,58.0,66.0,79.0,94.0,109.0,122.0,130.0,144.0
before,28,discipline,88.15756666666667,19.50141377983202,42.0,56.0,63.0,75.0,88.0,101.0,113.0,120.0,133.0
before,28,speed,99.02273333333333,23.826917898227812,43.0,60.0,68.0,83.0,99.0,115.0,129.0,138.0,153.0
before,30,contact,94.4026,20.18166775169981,47.0,61.0,68.0,81.0,94.0,108.0,120.0,127.0,141.0
before,30,power,93.2474,22.212862487907017,41.0,56.0,65.0,78.0,93.0,108.0,122.0,130.0,144.0
before,30,discipline,87.52096666666667,20.087467744812656,40.0,55.0,62.0,74.0,87.0,101.0,113.0,121.0,134.0
before,30,speed,98.3857,24.199336124020704,42.0,58.0,67.0,82.0,99.0,115.0,129.0,138.0,154.0
before,32,contact,92.7549,20.813188751126052,44.0,58.0,66.0,79.0,93.0,107.0,119.0,127.0,141.0
before,32,power,91.5819,22.778212376230638,39.0,54.0,62.0,76.0,92.0,107.0,121.0,129.0,144.0
before,32,discipline,85.80933333333333,20.79379345435128,38.0,52.0,59.0,72.0,86.0,100.0,113.0,120.0,135.0
before,32,speed,96.64943333333333,24.729204118724798,39.0,56.0,65.0,80.0,97.0,114.0,128.0,137.0,154.0
before,35,contact,89.12393333333333,21.80641588758277,39.0,53.0,61.0,74.0,89.0,104.0,117.0,125.0,140.0
before,35,power,87.32196666666667,23.69786848640377,33.0,48.0,57.0,71.0,87.0,103.0,118.0,126.0,142.0
before,35,discipline,84.2851,21.65975880113473,34.0,49.0,57.0,69.0,84.0,99.0,112.0,120.0,135.0
before,35,speed,89.6277,25.699201531889404,29.99000000000001,47.0,57.0,72.0,90.0,107.0,122.0,131.0,149.0
before,38,contact,83.47263333333333,22.811017463765666,30.0,46.0,54.0,68.0,83.0,99.0,113.0,121.0,136.0
before,38,power,80.5902,24.69883392578146,24.0,40.0,49.0,64.0,81.0,97.0,112.0,121.0,138.0
before,38,discipline,81.79116666666667,22.513353562694494,30.0,45.0,53.0,67.0,82.0,97.0,111.0,119.0,135.0
before,38,speed,78.5299,26.84399944102965,16.0,34.0,44.0,60.0,79.0,97.0,113.0,122.0,141.0
after,18,contact,79.97183333333334,16.253224499738163,42.0,53.0,59.0,69.0,80.0,91.0,101.0,107.0,117.0
after,18,power,78.65053333333333,18.709767673122567,35.0,48.0,54.0,66.0,79.0,91.0,103.0,109.0,122.0
after,18,discipline,72.9533,16.07276326927016,36.0,47.0,52.0,62.0,73.0,84.0,94.0,100.0,110.0
after,18,speed,83.9034,21.23433858415813,35.0,49.0,57.0,70.0,84.0,98.0,111.0,119.0,133.0
after,20,contact,84.38083333333333,16.897183176658633,45.0,56.0,63.0,73.0,85.0,96.0,106.0,112.0,123.0
after,20,power,83.23023333333333,19.29242751130321,38.99000000000001,51.0,58.0,70.0,83.0,96.0,108.0,115.0,128.0
