age,stat,before_mean,after_mean,delta_mean,before_sd,after_sd,before_p99,after_p99
18,contact,80.13513333333333,80.13513333333333,0.0,16.247882087076935,16.247882087076935,118.0,118.0
18,power,78.68476666666666,78.68476666666666,0.0,18.493025566743324,18.493025566743324,121.0,121.0
18,discipline,72.99146666666667,72.99146666666667,0.0,16.016618260905002,16.016618260905002,110.0,110.0
18,speed,83.9213,83.9213,0.0,21.161995171612087,21.161995171612087,133.0,133.0
20,contact,84.0965,87.49726666666666,3.400766666666655,16.939000002459807,16.93310935796757,124.0,127.0
20,power,82.6284,86.33083333333333,3.7024333333333317,19.050315310776355,19.05189708766266,127.0,130.0
20,discipline,76.9481,81.85003333333333,4.901933333333332,16.66947128905613,16.662267052601884,116.0,121.0
20,speed,87.837,87.837,0.0,21.62954532578066,21.62954532578066,138.0,138.0
22,contact,88.00556666666667,94.8016,6.796033333333327,17.6679088277463,17.654078965119268,129.0,136.0
22,power,86.53806666666667,93.92883333333333,7.390766666666664,19.651114071782857,19.638500502131578,132.0,139.0
22,discipline,80.88326666666667,90.68183333333333,9.798566666666659,17.371088240585912,17.353255313405096,121.0,131.0
22,speed,91.7611,91.7611,0.0,22.149744019363595,22.149744019363595,143.0,143.0
24,contact,91.01663333333333,101.19923333333334,10.182600000000008,18.46855408522521,18.429221526664897,134.0,144.0
24,power,89.49926666666667,100.57076666666667,11.0715,20.33390107174606,20.311318488605203,136.0,147.0
24,discipline,83.88256666666666,98.56466666666667,14.682100000000005,18.164246275184542,18.124387388880823,126.0,141.0
24,speed,94.7517,94.7517,0.0,22.745249623676003,22.745249623676003,147.0,147.0
26,contact,93.18903333333333,106.73823333333333,13.549199999999999,19.106729174095243,19.049146390644967,137.0,151.0
26,power,91.6834,106.41773333333333,14.734333333333325,20.90533499149599,20.857517402499166,140.0,155.0
26,discipline,86.01216666666667,105.5676,19.555433333333326,18.84106734340942,18.77199412884346,130.0,149.0
26,speed,96.8879,96.8879,0.0,23.29686102439554,23.29686102439554,151.0,151.0
28,contact,95.36056666666667,110.86646666666667,15.505899999999997,19.695248792849057,19.609185828302227,141.0,157.0
28,power,93.8796,110.76913333333333,16.889533333333333,21.43880213942312,21.356083456060528,144.0,160.0
28,discipline,88.23146666666666,110.7327,22.50123333333333,19.501516774742306,19.399719517989602,133.0,155.0
28,speed,99.04566666666666,99.04566666666666,0.0,23.75547897269643,23.75547897269643,154.0,154.0
30,contact,94.7371,110.18746666666667,15.450366666666667,20.224077653216558,20.100804036544297,142.0,157.0
30,power,93.29286666666667,110.12666666666667,16.833799999999997,21.947714287571927,21.826960902109626,144.0,161.0
30,discipline,87.6806,110.1152,22.434600000000003,20.081953348881843,19.933698326201288,134.0,156.0
30,speed,98.39053333333334,98.39053333333334,0.0,24.214178017204897,24.214178017204897,155.0,155.0
32,contact,93.0927,108.49303333333333,15.400333333333336,20.85198727643643,20.69805026563828,142.0,157.0
32,power,91.62143333333333,108.40293333333334,16.78150000000001,22.574387860557568,22.418931986059363,144.0,160.0
32,discipline,85.97173333333333,108.34336666666667,22.371633333333335,20.777457359573354,20.588155154494917,134.0,156.0
32,speed,96.719,96.719,0.0,24.784361446955483,24.784361446955483,154.0,154.0
35,contact,89.51006666666666,104.8573,15.347233333333335,21.828630251626468,21.63780187642297,140.0,156.0
35,power,87.35383333333333,104.06763333333333,16.713800000000006,23.526547458255653,23.325982488751798,143.0,159.0
35,discipline,84.46946666666666,106.809,22.339533333333335,21.622119870992197,21.41103108991562,135.0,157.0
35,speed,89.71726666666666,89.71726666666666,0.0,25.777753881895055,25.777753881895055,150.0,150.0
38,contact,83.89636666666667,99.19593333333333,15.299566666666664,22.814368866985756,22.591433703852342,137.0,152.0
38,power,80.57096666666666,97.2248,16.65383333333334,24.522583409289396,24.28805875926138,139.0,155.0
38,discipline,81.99993333333333,104.30963333333334,22.309700000000007,22.458676125918217,22.230745088702918,135.0,156.0
38,speed,78.66803333333333,78.66803333333333,0.0,26.8854340637991,26.8854340637991,141.0,141.0
