stat,raw,gameplay,local_per_raw,delta_per_10_raw
contact,70,76.44156666666666,0.6,6.0
contact,80,82.44156666666666,0.6,6.0
contact,90,88.44156666666666,0.6,6.0
contact,100,94.44156666666666,0.6,6.0
contact,110,100.44156666666666,0.6,6.0
contact,120,106.44156666666666,0.6,6.0
contact,130,112.44156666666666,0.6,6.0
contact,140,118.44156666666666,0.6,6.0
contact,150,124.44156666666666,0.6,6.0
contact,160,130.44156666666666,0.6,6.0
contact,180,142.44156666666666,0.6,6.0
contact,200,154.44156666666666,0.6,6.0
contact,250,184.44156666666666,0.6,6.0
power,70,76.53729333333334,0.6,6.0
power,80,82.53729333333334,0.6,6.0
power,90,88.53729333333334,0.6,6.0
power,100,94.53729333333334,0.6,6.0
power,110,100.53729333333334,0.6,6.0
power,120,106.53729333333334,0.6,6.0
power,130,112.53729333333334,0.6,6.0
power,140,118.53729333333334,0.6,6.0
power,150,124.53729333333334,0.6,6.0
power,160,130.53729333333334,0.6,6.0
power,180,142.53729333333334,0.6,6.0
power,200,154.53729333333334,0.6,6.0
power,250,184.53729333333334,0.6,6.0
discipline,70,76.71690000000001,0.6,6.0
discipline,80,82.71690000000001,0.6,6.0
discipline,90,88.7169,0.6,6.0
discipline,100,94.7169,0.6,6.0
discipline,110,100.7169,0.6,6.0
discipline,120,106.7169,0.6,6.0
discipline,130,112.7169,0.6,6.0
discipline,140,118.7169,0.6,6.0
discipline,150,124.7169,0.6,6.0
discipline,160,130.7169,0.6,6.0
discipline,180,142.7169,0.6,6.0
discipline,200,154.7169,0.6,6.0
discipline,250,184.7169,0.6,6.0
