stat,baseline,delta_raw,delta_gameplay,dAVG,dOBP,dSLG,dBB,dK,dHR,dBABIP
contact,80,1,0.6,0.0013170903850861226,0.0016666666666666496,0.002849681019711947,0.0006000000000000033,-0.0009333333333333138,0.0001999999999999988,0.0012468952171422187
contact,80,5,3.0,0.004302029106504485,0.003866666666666685,0.007162057195657712,-9.999999999998899e-05,-0.002533333333333332,0.0003666666666666679,0.004428549158128736
contact,80,10,6.0,0.010870940493855369,0.00933333333333336,0.016251047934120744,-0.0008333333333333248,-0.0056333333333333235,0.0009333333333333346,0.011422577020441416
contact,90,1,0.6,0.0010998101562015028,0.0009333333333333416,0.002285428932020439,-0.00010000000000000286,-0.0003666666666666818,0.00030000000000000165,0.0010158936478041891
contact,90,5,3.0,0.00525119256344847,0.004566666666666663,0.009129604921110757,-0.00033333333333333826,-0.0017333333333333367,0.0011999999999999997,0.00510908744580052
contact,90,10,6.0,0.010333989597216098,0.008733333333333315,0.018948185519556515,-0.0010000000000000009,-0.004433333333333345,0.002066666666666668,0.009864529770660768
contact,100,1,0.6,0.0013905386763629624,0.0013999999999999568,0.002940748042352226,0.0001666666666666622,-0.0005999999999999894,0.0004333333333333342,0.0011828486939378657
contact,100,5,3.0,0.006458284305279838,0.00543333333333329,0.009628545321669846,-0.0006666666666666626,-0.003066666666666662,0.0006333333333333364,0.006655095580065606
contact,100,10,6.0,0.011397905035192335,0.009699999999999986,0.01919456831191657,-0.0010333333333333306,-0.0029666666666666452,0.0019000000000000024,0.012076633035595918
contact,110,1,0.6,0.0016253812229403697,0.0010333333333333306,0.0011997992488301246,-0.000633333333333333,-0.0010000000000000009,-0.00010000000000000286,0.0017712893804474605
contact,110,5,3.0,0.00688805349088667,0.006433333333333291,0.008286123110371302,0.00013333333333333253,-0.0026666666666666505,9.99999999999994e-05,0.00790373860739546
contact,110,10,6.0,0.011025050990619956,0.009566666666666668,0.01451929901226584,-0.0007999999999999952,-0.004533333333333334,0.000499999999999997,0.012089740739292143
contact,120,1,0.6,0.0017793854497438755,0.0018333333333333535,0.003918321667436719,0.00026666666666667893,-0.00026666666666666505,0.0004333333333333342,0.0018595970300753772
contact,120,5,3.0,0.006190050915049317,0.005633333333333379,0.012032877262064923,-9.999999999998899e-05,-0.0018666666666666554,0.0013333333333333322,0.006107221097305604
