stat,raw,gameplay,AVG,OBP,SLG,OPS,BB,K,HR,1B,2B,3B,BABIP
contact,30,61.435480000000005,0.22152676874930144,0.3035,0.3598599158004545,0.6633599158004545,0.1053,0.224,0.023933333333333334,0.1246,0.04736666666666667,0.0023,0.269442869659331
contact,50,73.43548000000001,0.24076622652036453,0.3196,0.3892505114376046,0.7088505114376046,0.10383333333333333,0.2123,0.026566666666666666,0.138,0.04903333333333333,0.0021666666666666666,0.28784421116689485
contact,70,85.43548000000001,0.2658194827457703,0.3433,0.42695833643884623,0.7702583364388462,0.10553333333333334,0.20306666666666667,0.028333333333333332,0.15256666666666666,0.0546,0.002266666666666667,0.3158556203498894
contact,90,97.43548,0.2894393255492968,0.36506666666666665,0.47185436639683664,0.8369210330635033,0.10643333333333334,0.19476666666666667,0.032966666666666665,0.16396666666666668,0.0593,0.0024,0.3389236545682103
contact,110,109.43548,0.31071242849713987,0.38143333333333335,0.5070202808112324,0.8884536141445658,0.1026,0.18553333333333333,0.0351,0.17576666666666665,0.06506666666666666,0.0029,0.3601438211101808
contact,130,121.43548,0.3277860326894502,0.3968,0.5422362555720653,0.9390362555720653,0.10266666666666667,0.17746666666666666,0.039966666666666664,0.18453333333333333,0.06673333333333334,0.0029,0.3738294847281463
contact,150,133.43548,0.34813110129542335,0.4146,0.5786719126981181,0.9932719126981182,0.10196666666666666,0.17873333333333333,0.041433333333333336,0.19116666666666668,0.07733333333333334,0.0027,0.4000786782061369
contact,180,151.43548,0.370421076000888,0.43283333333333335,0.6147043587656331,1.0475376920989665,0.09913333333333334,0.1653,0.045233333333333334,0.2071,0.07836666666666667,0.003,0.4178657653307581
contact,200,163.43547999999998,0.38466942759946754,0.4453,0.6388108268007692,1.084110826800769,0.09853333333333333,0.1632,0.046266666666666664,0.21453333333333333,0.08163333333333334,0.004333333333333333,0.4342485549132948
contact,250,193.43547999999998,0.42165126808260023,0.47626666666666667,0.7079176942614201,1.1841843609280869,0.09443333333333333,0.1521,0.05266666666666667,0.23213333333333333,0.09283333333333334,0.0042,0.4697012937595129
power,30,62.32911333333333,0.22942161056351126,0.30943333333333334,0.333717686442254,0.6431510197755874,0.10383333333333333,0.18496666666666667,0.014066666666666667,0.14226666666666668,0.047266666666666665,0.002,0.2747441904944057
power,50,74.32911333333334,0.24863499609998885,0.3257,0.3744382126806077,0.7001382126806077,0.10256666666666667,0.18586666666666668,0.018366666666666667,0.14956666666666665,0.0526,0.0026,0.29539334487401425
power,70,86.32911333333334,0.2710814320163235,0.3450666666666667,0.4245594509367464,0.7696261176034132,0.1015,0.18666666666666668,0.025133333333333334,0.1587,0.056966666666666665,0.002766666666666667,0.3180913547886025
power,90,98.32911333333334,0.2938400951107148,0.36643333333333333,0.47053796998068065,0.836971303314014,0.1028,0.1837,0.031266666666666665,0.1707,0.0586,0.0030666666666666668,0.34059705867982604
power,110,110.32911333333334,0.3119860082610799,0.3837,0.5131172552375991,0.896817255237599,0.10423333333333333,0.1844,0.03676666666666667,0.17563333333333334,0.06426666666666667,0.0028,0.3597687518529499
power,130,122.32911333333334,0.3240223463687151,0.3909666666666667,0.5406415331680787,0.9316081998347454,0.09903333333333333,0.18666666666666668,0.040766666666666666,0.1813,0.06686666666666667,0.003,0.3729090369197268
power,150,134.32911333333334,0.34250027797338867,0.4086666666666667,0.5877469330269449,0.9964135996936117,0.10063333333333334,0.1846,0.047,0.18453333333333333,0.07343333333333334,0.0030666666666666668,0.39090500673888084
power,180,152.32911333333334,0.36845416527885716,0.43116666666666664,0.6544909514821805,1.085657618148847,0.0993,0.18473333333333333,0.0571,0.19243333333333335,0.07833333333333334,0.004,0.41702924213295556
power,200,164.32911333333334,0.38178115163858545,0.4435,0.6879466765413812,1.131446676541381,0.09983333333333333,0.18596666666666667,0.0633,0.19783333333333333,0.07936666666666667,0.0031666666666666666,0.43073692835561017
power,250,194.32911333333334,0.4115506035283194,0.47186666666666666,0.7708077994428969,1.2426744661095634,0.1025,0.18596666666666667,0.07576666666666666,0.20253333333333334,0.087,0.004066666666666666,0.4618046453101243
discipline,30,65.59304666666667,0.26432910952959554,0.29363333333333336,0.4295781982294741,0.7232115315628074,0.03983333333333333,0.24323333333333333,0.032,0.16186666666666666,0.0572,0.0027333333333333333,0.32382713646096944
discipline,50,77.59304666666667,0.2698909602532536,0.3081,0.44287724234963066,0.7509772423496306,0.052333333333333336,0.2326,0.032633333333333334,0.1601,0.060033333333333334,0.003,0.3269672251257754
discipline,70,89.59304666666667,0.2875949909022798,0.3344,0.4672303685468622,0.8016303685468622,0.0657,0.2182,0.033666666666666664,0.17056666666666667,0.0621,0.0023666666666666667,0.3444048258682167
discipline,90,101.59304666666667,0.2987102633969119,0.35656666666666664,0.49155313351498636,0.848119800181653,0.0825,0.20176666666666668,0.035366666666666664,0.17083333333333334,0.0649,0.0029666666666666665,0.3508402332075842
discipline,110,113.59304666666667,0.3088927604996849,0.37853333333333333,0.5062831300737666,0.8848164634070999,0.10076666666666667,0.18396666666666667,0.03546666666666667,0.17423333333333332,0.06503333333333333,0.003033333333333333,0.3564283612827302
discipline,130,125.59304666666667,0.32165726482695534,0.40676666666666667,0.5266427809117243,0.933409447578391,0.12546666666666667,0.16826666666666668,0.036,0.17676666666666666,0.0658,0.0027333333333333333,0.36597374179431075
discipline,150,137.59304666666668,0.34312270561587127,0.43933333333333335,0.5650628758884636,1.004396209221797,0.14646666666666666,0.14903333333333332,0.0392,0.18493333333333334,0.06563333333333334,0.0031,0.3812816273360389
discipline,180,155.59304666666668,0.3533035820070297,0.45416666666666666,0.5846135618656452,1.0387802285323118,0.15596666666666667,0.12696666666666667,0.0397,0.18513333333333334,0.0706,0.002766666666666667,0.38162492003346293
discipline,200,167.59304666666668,0.3553073066750878,0.4556,0.5840997907867209,1.039699790786721,0.15556666666666666,0.12506666666666666,0.0387,0.18686666666666665,0.07183333333333333,0.0026333333333333334,0.38393731635651324
discipline,250,197.59304666666665,0.3628451025954078,0.46073333333333333,0.5921783309046512,1.0529116642379845,0.15363333333333334,0.10283333333333333,0.03983333333333333,0.1954,0.06913333333333334,0.0027333333333333333,0.37980199895788924
