kind,stat,baseline_raw,delta_raw,dAVG,dOBP,dSLG,dBB,dK,dHR,dBABIP,raw,Swing,Whiff,Contact
pa,contact,80,1,0.001571517361931396,0.0010999999999999899,0.0019633181482605067,-0.00042857142857143093,7.142857142855563e-05,0.00012857142857142928,0.001988296020949021,,,,
pa,contact,80,5,0.005169533898598755,0.0036714285714285477,0.007414758082065043,-0.0013428571428571456,-0.001328571428571429,0.00032857142857142807,0.00586386824810059,,,,
pa,contact,80,10,0.010097776171769324,0.007728571428571418,0.015611311837946173,-0.0018571428571428628,-0.002042857142857152,0.0009857142857142842,0.011428639295334109,,,,
pa,contact,80,20,0.020515666967604707,0.017742857142857116,0.03351918000037091,-0.0009142857142857147,-0.006400000000000017,0.0020714285714285713,0.022147934128364744,,,,
pa,contact,100,1,0.0009985027974159788,0.0007571428571429006,0.0022755096029659083,-0.00019999999999999185,-0.0008714285714285785,0.0004000000000000045,0.00048201189302327085,,,,
pa,contact,100,5,0.004740582505517454,0.004071428571428615,0.007988694193530987,-0.00027142857142857524,-0.0028142857142857136,0.0006857142857142895,0.004183242842186741,,,,
pa,contact,100,10,0.010026916091218752,0.008685714285714297,0.016949694012367345,-0.0004714285714285671,-0.004814285714285715,0.0012428571428571428,0.009618449821253316,,,,
pa,contact,100,20,0.021095971783528067,0.019000000000000017,0.037464132124170546,5.714285714285283e-05,-0.008500000000000008,0.0029571428571428596,0.020752132168198156,,,,
pa,contact,110,1,0.0016788757311733682,0.0012999999999999678,0.0023770552733454187,-0.0003000000000000086,-0.000385714285714267,2.8571428571426416e-05,0.0019742012650419416,,,,
pa,contact,110,5,0.005640477255628551,0.004728571428571415,0.00839839778222573,-0.00048571428571428377,-0.0008857142857142675,0.0003999999999999976,0.0066002105303182845,,,,
pa,contact,110,10,0.010716454207080506,0.00931428571428572,0.018099173893822984,-0.0004428571428571476,-0.0032571428571428473,0.001085714285714287,0.011400130435559153,,,,
pa,contact,110,20,0.020012516625494914,0.017228571428571426,0.03524833834184715,-0.001085714285714287,-0.007471428571428573,0.003128571428571432,0.019431935743382533,,,,
pa,contact,130,1,0.0008504863623277625,0.0009428571428571342,0.0017447685120585144,0.00027142857142857524,-0.0002714285714285891,0.0001142857142857126,0.0008837180448257875,,,,
pa,contact,130,5,0.004961320598443286,0.004314285714285715,0.009327595130335542,-0.00019999999999999185,-0.0015428571428571514,0.001085714285714287,0.0046689338750739995,,,,
pa,contact,130,10,0.008704147043620769,0.0068428571428571505,0.01763261673984995,-0.0014571428571428513,-0.0024857142857142855,0.0021142857142857144,0.008048990254909238,,,,
pa,contact,130,20,0.019188474542536027,0.015857142857142847,0.034786026313951446,-0.0020714285714285713,-0.005171428571428577,0.003357142857142857,0.01913911743160851,,,,
pa,contact,150,1,0.0006256892400952063,0.0006571428571428561,0.0003617602589004454,0.00014285714285713902,-0.0005428571428571505,-0.0001571428571428557,0.0006556595618002481,,,,
pa,contact,150,5,0.003375120513534391,0.0030999999999999917,0.0058363901925498896,8.571428571428619e-05,-0.001614285714285707,0.00032857142857142807,0.0032128187006073006,,,,
pa,contact,150,10,0.005964349368931365,0.005628571428571427,0.009248824133422096,0.0003857142857142809,-0.0029714285714285693,0.000285714285714285,0.00587161820871851,,,,
pa,contact,150,20,0.012941598489167039,0.01132857142857141,0.02258216626317866,-0.0005428571428571505,-0.005742857142857133,0.0015571428571428542,0.012206801036182657,,,,
pa,power,80,1,0.0005845957163727045,0.000771428571428534,0.000996528683189002,0.00034285714285714475,-5.714285714286671e-05,0.00017142857142857237,0.0005930754569891117,,,,
pa,power,80,5,0.003358133883028025,0.0029142857142857026,0.008070854929705218,-0.0001428571428571529,-0.00018571428571428905,0.0013857142857142853,0.002943458036961444,,,,
pa,power,80,10,0.010390388597370182,0.009171428571428553,0.02232146900514781,-0.0002285714285714252,-0.0011714285714285733,0.002942857142857143,0.010164002954265117,,,,
pa,power,80,20,0.022121287174754756,0.01944285714285715,0.04947303616221982,-0.00061428571428572,-0.00122857142857144,0.006514285714285712,0.022104952661016253,,,,
pa,power,100,1,0.0010733560388015984,0.0012142857142856678,0.0027837640440597222,0.0003571428571428614,-0.00048571428571428377,0.0002999999999999947,0.0009062762871424601,,,,
pa,power,100,5,0.0045227829888405124,0.004314285714285715,0.009714409897594145,0.0003571428571428614,-0.00011428571428570566,0.0010857142857142801,0.004907469859762814,,,,
pa,power,100,10,0.009459311109849322,0.008799999999999975,0.021311022744138708,0.00042857142857143093,-0.0003857142857142948,0.002657142857142858,0.00981473043657527,,,,
pa,power,100,20,0.018249734704187337,0.01581428571428567,0.04453397726987035,-0.0008714285714285647,-4.285714285715003e-05,0.0058999999999999955,0.018530830281711153,,,,
pa,power,110,1,0.0008293333534446501,0.0006857142857142895,0.0017169275862458644,-8.571428571428619e-05,-8.571428571427231e-05,0.0002285714285714252,0.0008327168752964575,,,,
pa,power,110,5,0.00534733806279436,0.004842857142857149,0.012039461157120956,5.714285714286671e-05,-0.0007000000000000062,0.0016428571428571404,0.005179880864826569,,,,
pa,power,110,10,0.010238262841383128,0.009528571428571442,0.024649098275494996,0.00048571428571428377,-0.0008714285714285508,0.003457142857142853,0.009917540115548296,,,,
pa,power,110,20,0.019306314033008087,0.017314285714285726,0.0450105282821327,-4.2857142857136155e-05,-0.0008428571428571452,0.006228571428571424,0.019414622575287754,,,,
pa,power,130,1,0.0007023116602837276,0.0008428571428570897,0.0017991878110569237,0.0003142857142857114,-2.85714285714056e-05,0.0002714285714285683,0.0006950670876656462,,,,
pa,power,130,5,0.004150479803534501,0.004171428571428548,0.01061371853413784,0.0006571428571428561,-0.00034285714285714475,0.0015857142857142806,0.003949243322633855,,,,
pa,power,130,10,0.010318217605547964,0.010299999999999976,0.02347459659708906,0.0015428571428571375,-0.001242857142857129,0.0032571428571428543,0.010247143259007219,,,,
pa,power,130,20,0.01793498394553822,0.01731428571428567,0.04046224625234207,0.0018142857142857127,-0.0008285714285714285,0.005271428571428566,0.018932906812313466,,,,
pa,power,150,1,0.0005624207307540208,0.0005428571428571227,0.0013093897925723352,5.714285714285283e-05,-0.00011428571428570566,0.00021428571428571547,0.0005009220387915403,,,,
pa,power,150,5,0.0038633978822855686,0.0034714285714285698,0.009730039110941502,0.0,-0.0002999999999999947,0.001514285714285718,0.003665680407416494,,,,
pa,power,150,10,0.007868037176266607,0.00735714285714284,0.018264493335276466,0.0004428571428571476,-0.0009714285714285675,0.002742857142857144,0.007603377603827233,,,,
pa,power,150,20,0.013797752004846175,0.012857142857142845,0.03485249363823073,0.000714285714285709,-0.0015428571428571236,0.005400000000000002,0.012923932034810792,,,,
pa,discipline,80,1,-3.098436904847013e-05,0.0007428571428571562,-0.0005287090063659794,0.001085714285714287,-0.0006571428571428561,-9.999999999999593e-05,-0.00019064094375115248,,,,
pa,discipline,80,5,0.001646557957822592,0.004471428571428571,0.004542090004231003,0.004157142857142845,-0.003742857142857131,0.0006000000000000033,9.559398977859734e-05,,,,
pa,discipline,80,10,0.008577734257119662,0.013757142857142857,0.01741012310034573,0.008285714285714285,-0.00981428571428572,0.0010714285714285773,0.006246417534922444,,,,
pa,discipline,80,20,0.017170746353413868,0.027871428571428547,0.03153310758891148,0.017271428571428563,-0.02091428571428572,0.0019000000000000059,0.011901447157244394,,,,
pa,discipline,100,1,0.00011676190740744774,0.0005142857142856894,-0.0005587963994449496,0.0005857142857142866,-0.0002999999999999947,-0.00024285714285714188,0.00027506924054970794,,,,
pa,discipline,100,5,0.0033259342208448728,0.006214285714285728,0.003738315815221549,0.004599999999999993,-0.004485714285714287,-0.0003571428571428545,0.0027784987844041154,,,,
pa,discipline,100,10,0.006861953250173802,0.013671428571428557,0.007081101044852045,0.01077142857142857,-0.01027142857142857,-0.0008571428571428549,0.005349443155441058,,,,
pa,discipline,100,20,0.013591634554221688,0.026042857142857145,0.017733650148709312,0.020028571428571423,-0.01904285714285714,-0.00032857142857142807,0.009702158420847096,,,,
pa,discipline,110,1,-0.0003125628414017423,0.0005857142857143005,0.00017214978130464242,0.0012571428571428594,-0.0010714285714285565,8.571428571427925e-05,-0.000973961488941355,,,,
pa,discipline,110,5,0.0008899102269232517,0.004442857142857137,0.0003755814872191676,0.005285714285714296,-0.005871428571428555,-0.00047142857142857403,-0.0011072811975965657,,,,
pa,discipline,110,10,0.005488454851356461,0.0118571428571429,0.005358689097652025,0.010099999999999998,-0.01132857142857141,-0.0008285714285714285,0.0027170647863820063,,,,
pa,discipline,110,20,0.014081014983498008,0.028471428571428592,0.019611061834698518,0.023357142857142868,-0.02124285714285712,-0.00037142857142857116,0.009044783586597827,,,,
pa,discipline,130,1,0.0004632252008328619,0.0011571428571428566,0.0014630316372368224,0.0011142857142857066,-0.00048571428571428377,0.00014285714285713902,0.0002744823709855404,,,,
pa,discipline,130,5,0.00424436227206948,0.007685714285714296,0.006762467297722341,0.005914285714285705,-0.004928571428571421,0.00024285714285714188,0.002944504728057795,,,,
pa,discipline,130,10,0.006952382219593489,0.012657142857142867,0.011875028703897228,0.009828571428571437,-0.008485714285714291,0.0006571428571428561,0.0043275571351416575,,,,
pa,discipline,130,20,0.016210571033735688,0.028799999999999992,0.02712672114071224,0.022157142857142847,-0.017642857142857127,0.0012428571428571428,0.011255135321130538,,,,
pa,discipline,150,1,0.002169534396525341,0.002942857142857136,0.0033842676697313223,0.001657142857142857,-0.0006285714285714228,7.142857142857645e-05,0.0024404711078099828,,,,
pa,discipline,150,5,0.004762035886948568,0.006928571428571451,0.008328967926577224,0.004371428571428582,-0.0029571428571428526,2.8571428571433355e-05,0.004601114390043015,,,,
pa,discipline,150,10,0.007628389663278223,0.011114285714285743,0.012714031391567238,0.007057142857142873,-0.0069857142857142895,0.00024285714285714882,0.005868847740759908,,,,
pa,discipline,150,20,0.01081059547224339,0.015985714285714325,0.017267888494042816,0.010414285714285737,-0.011471428571428577,0.00018571428571428905,0.007524699379656163,,,,
pa,speed,80,1,0.0001670342207006903,7.142857142861114e-05,0.0005592898560671244,-0.00011428571428571954,0.00014285714285713902,-2.8571428571426416e-05,0.0003168500876618574,,,,
pa,speed,80,5,0.0006941128052397327,0.0008285714285714563,0.003203655299062136,0.0002999999999999947,-2.85714285714056e-05,7.142857142856951e-05,0.0008604440452854578,,,,
pa,speed,80,10,0.0012975456872045266,0.0014285714285714457,0.005973868716369124,0.0003857142857142809,-0.000242857142857128,0.000285714285714285,0.0013504689948101722,,,,
pa,speed,80,20,-0.003838249960283535,-0.004242857142857104,0.004020443993428879,-0.0011571428571428566,-0.0010714285714285565,-0.0006714285714285728,-0.0051048038578531685,,,,
pa,speed,100,1,0.00012745957141718778,0.00011428571428573342,0.0017685015534135151,0.0,0.0,0.0,0.0001687051876845258,,,,
pa,speed,100,5,0.0008284872142117483,0.0007428571428571562,0.010037441249103773,0.0,0.0,0.0,0.0010965837199493622,,,,
pa,speed,100,10,0.0017525691069864013,0.001571428571428557,0.02001115271249898,0.0,0.0,0.0,0.0023196963306621465,,,,
pa,speed,100,20,0.0031546243925755224,0.002828571428571458,0.03862025013940895,0.0,0.0,0.0,0.004175453395191875,,,,
