age,stat,n,mean,sd,p01,p05,p10,p25,p50,p75,p90,p95,p99
18,contact,30000,79.96763333333334,16.225709611566728,42.0,53.0,59.0,69.0,80.0,91.0,101.0,106.0,118.0
18,power,30000,78.47863333333333,18.57502113409894,35.0,48.0,54.0,66.0,79.0,91.0,102.0,109.0,121.0
18,discipline,30000,72.98603333333334,16.133060412257667,36.0,47.0,52.0,62.0,73.0,84.0,94.0,100.0,110.0
18,speed,30000,83.86096666666667,21.07804315076605,34.99000000000001,49.0,57.0,70.0,84.0,98.0,111.0,119.0,132.0
20,contact,30000,83.87403333333333,16.874038216509472,45.0,56.0,62.0,73.0,84.0,95.0,105.0,111.0,123.0
20,power,30000,82.43673333333334,19.141081404374436,38.0,51.0,58.0,69.0,83.0,95.0,107.0,114.0,126.0
20,discipline,30000,76.91836666666667,16.817882427113773,38.0,49.0,55.0,66.0,77.0,88.0,98.0,105.0,116.0
20,speed,30000,87.7697,21.58395843931321,37.0,52.0,60.0,73.0,88.0,102.0,115.0,123.0,137.0
22,contact,30000,87.81786666666666,17.582241820908074,47.0,59.0,65.0,76.0,88.0,100.0,110.0,117.0,129.0
22,power,30000,86.36293333333333,19.786158783239244,41.0,54.0,61.0,73.0,87.0,100.0,112.0,119.0,132.0
22,discipline,30000,80.83793333333334,17.61698047516152,40.0,52.0,58.0,69.0,81.0,93.0,103.0,110.0,122.0
22,speed,30000,91.68166666666667,22.103901553546805,40.0,55.0,63.0,77.0,92.0,107.0,120.0,128.0,143.0
24,contact,30000,90.84393333333334,18.3266611760632,48.0,61.0,67.0,78.0,91.0,103.0,114.0,121.0,133.0
24,power,30000,89.33026666666666,20.48140434464612,42.0,56.0,63.0,75.0,90.0,103.0,116.0,123.0,136.0
24,discipline,30000,83.8276,18.395909280054628,41.0,53.0,60.0,71.0,84.0,96.0,107.0,114.0,127.0
24,speed,30000,94.6561,22.692548691659415,42.0,57.0,66.0,79.0,95.0,110.0,124.0,132.0,147.0
26,contact,30000,93.02443333333333,18.982398066249573,49.0,62.0,69.0,80.0,93.0,106.0,117.0,124.0,137.0
26,power,30000,91.49873333333333,21.043643499377403,42.0,57.0,64.0,77.0,92.0,106.0,118.0,126.0,140.0
26,discipline,30000,86.0441,19.03117499937055,42.0,55.0,61.0,73.0,86.0,99.0,110.0,117.0,131.0
26,speed,30000,96.78856666666667,23.2039722737054,43.0,58.0,67.0,81.0,97.0,112.0,126.0,135.0,150.0
28,contact,30000,95.22636666666666,19.589037532904864,50.0,63.0,70.0,82.0,95.0,109.0,120.0,127.0,141.0
28,power,30000,93.73753333333333,21.598795751512526,44.0,58.0,66.0,79.0,94.0,109.0,121.0,129.0,143.0
28,discipline,30000,88.27586666666667,19.628002893372066,43.0,56.0,63.0,75.0,88.0,102.0,113.0,120.0,134.0
28,speed,30000,98.9745,23.652900803425077,44.0,60.0,69.0,83.0,99.0,115.0,129.0,138.0,153.0
30,contact,30000,94.5718,20.108911244188896,48.0,61.0,69.0,81.0,95.0,108.0,120.0,127.0,141.0
30,power,30000,93.11816666666667,22.0958413124632,42.0,57.0,65.0,78.0,93.0,108.0,121.0,129.0,144.0
30,discipline,30000,87.7148,20.135209483886676,41.0,54.0,62.0,74.0,88.0,101.0,113.0,121.0,134.0
30,speed,30000,98.3461,24.066963140163736,42.0,59.0,67.0,82.0,99.0,115.0,129.0,138.0,153.0
32,contact,30000,92.9188,20.75031742472068,45.0,59.0,66.0,79.0,93.0,107.0,119.0,127.0,141.0
32,power,30000,91.4021,22.68517171171512,39.0,54.0,62.0,76.0,92.0,107.0,120.0,128.0,143.0
32,discipline,30000,86.04923333333333,20.7658616342357,38.0,52.0,59.0,72.0,86.0,100.0,113.0,120.0,134.0
32,speed,30000,96.6082,24.585372875485675,39.0,56.0,65.0,80.0,97.0,113.0,128.0,137.0,153.0
35,contact,30000,89.3495,21.75463206806005,39.0,54.0,61.0,74.0,89.0,104.0,117.0,125.0,140.0
35,power,30000,87.14606666666667,23.650323419822872,33.0,48.0,57.0,71.0,87.0,103.0,118.0,126.0,141.0099999999984
35,discipline,30000,84.54846666666667,21.546281604541935,35.0,49.0,57.0,70.0,85.0,99.0,112.0,120.0,134.0
35,speed,30000,89.54853333333334,25.594114776296177,29.0,47.0,57.0,72.0,90.0,107.0,122.0,131.0,148.0
