stat,raw,gameplay,local_slope
contact,30,61.435480000000005,0.6
contact,50,73.43548000000001,0.6
contact,70,85.43548000000001,0.6
contact,80,91.43548,0.6
contact,90,97.43548,0.6
contact,100,103.43548,0.6
contact,110,109.43548,0.6
contact,120,115.43548,0.6
contact,130,121.43548,0.6
contact,140,127.43548,0.6
contact,150,133.43548,0.6
contact,160,139.43548,0.6
contact,180,151.43548,0.6
contact,200,163.43547999999998,0.6
contact,250,193.43547999999998,0.6
power,30,62.32911333333333,0.6
power,50,74.32911333333334,0.6
power,70,86.32911333333334,0.6
power,80,92.32911333333334,0.6
power,90,98.32911333333334,0.6
power,100,104.32911333333334,0.6
power,110,110.32911333333334,0.6
power,120,116.32911333333334,0.6
power,130,122.32911333333334,0.6
power,140,128.32911333333334,0.6
power,150,134.32911333333334,0.6
power,160,140.32911333333334,0.6
power,180,152.32911333333334,0.6
power,200,164.32911333333334,0.6
power,250,194.32911333333334,0.6
discipline,30,65.59304666666667,0.6
discipline,50,77.59304666666667,0.6
discipline,70,89.59304666666667,0.6
discipline,80,95.59304666666667,0.6
discipline,90,101.59304666666667,0.6
discipline,100,107.59304666666667,0.6
discipline,110,113.59304666666667,0.6
discipline,120,119.59304666666667,0.6
discipline,130,125.59304666666667,0.6
discipline,140,131.59304666666668,0.6
discipline,150,137.59304666666668,0.6
discipline,160,143.59304666666668,0.6
discipline,180,155.59304666666668,0.6
discipline,200,167.59304666666668,0.6
discipline,250,197.59304666666665,0.6
speed,30,59.17816666666666,0.6
speed,50,71.17816666666667,0.6
speed,70,83.17816666666667,0.6
speed,80,89.17816666666667,0.6
speed,90,95.17816666666667,0.6
speed,100,101.17816666666667,0.6
speed,110,107.17816666666667,0.6
speed,120,113.17816666666667,0.6
speed,130,119.17816666666667,0.6
speed,140,125.17816666666667,0.6
speed,150,131.17816666666667,0.6
speed,160,137.17816666666667,0.6
speed,180,149.17816666666667,0.6
speed,200,161.17816666666667,0.6
speed,250,191.17816666666664,0.6
