rank,loss,passed,w_control_zone,w_velocity_contact,w_breaking_contact,w_stuff_quality,w_breaking_quality,AVG,OBP,SLG,OPS,BB%,K%,HR%,1B%,2B%,3B%,BABIP
1,1.4309552379381425,False,0.4700404619487405,1.9215650737368564,0.8344318885131823,0.6692438927984081,0.1354616683240321,0.25572681597547475,0.3008,0.3919781997785915,0.6927781997785916,0.06056,0.226,0.02836,0.1702,0.04044,0.00124,0.30927774858410695
2,1.5242370910001233,False,0.9236680260879404,1.3287019684348162,1.3604556272978285,0.6414980928959014,1.0179620830726492,0.26247808049270777,0.31024,0.4118301184722638,0.7220701184722638,0.06476,0.23724,0.032,0.17156,0.04016,0.00176,0.32054054054054054
3,1.5383635525191897,False,0.753691224032603,1.972234392296871,0.3151789347336445,0.8325022259637742,0.5086467665015323,0.2529699808388333,0.29824,0.38505428997232277,0.6832942899723228,0.0606,0.23896,0.02728,0.16928,0.03992,0.00116,0.3124962861726781
4,1.6520818492869986,False,0.5314321934640414,1.3480317503967278,1.0461112800577013,0.30253767301207357,0.3186422011695469,0.2474332211477016,0.2934,0.3753248413070336,0.6687248413070336,0.06108,0.23176,0.0256,0.1646,0.04096,0.00116,0.3033041845178708
5,1.6523379057242633,False,0.7260654228821379,0.4048411597986409,1.470504694388693,0.8599626554096033,0.5934861337027946,0.25023450157755606,0.2966,0.3908928114607316,0.6874928114607316,0.06184,0.23952,0.03016,0.16436,0.039,0.00124,0.30606749640976544
6,1.6524203714261456,False,0.5168238062207478,0.7638732851153107,0.848160933473166,1.0712622380510097,0.5631191301637908,0.2552929172689397,0.29932,0.4007312303375563,0.7000512303375563,0.05912,0.23952,0.03112,0.1668,0.04108,0.0012,0.31194795894008115
7,1.6745581128290357,False,0.5164320396645694,0.5150630358293505,1.4685635768786582,1.4127957472132648,0.1971339311028299,0.26430761369443023,0.30892,0.4124084483052291,0.7213284483052291,0.06064,0.23324,0.03052,0.17156,0.04484,0.00136,0.3223208999407934
8,1.7203698174452466,False,1.8940062695840045,1.8430476725200455,0.7445762202683376,1.0581191041709734,1.014268825628281,0.2443926846100759,0.29928,0.3902260179434092,0.6895060179434092,0.07264,0.24048,0.0312,0.15476,0.03972,0.00096,0.29807223035627134
9,1.7295124982207841,False,0.8984245415853853,1.0122820996704802,1.2406515452903548,0.2361278036108743,0.8949333907658555,0.24554734549182078,0.29344,0.38111305684875924,0.6745530568487592,0.06348,0.23324,0.02772,0.15976,0.04116,0.00132,0.29936645153650304
10,1.760442258203819,False,1.5202071905778949,1.5698435286076327,1.3676829023433552,0.8788045270630191,0.40894889381638566,0.24406474047997254,0.29568,0.37779590434894605,0.673475904348946,0.06828,0.24284,0.02792,0.15976,0.0386,0.00112,0.30180343742435245
