metric,actual,target,residual,tolerance,normalized_residual
AVG,0.24058084180265293,0.2616021705,-0.021021328697347075,0.01,-2.1021328697347075
OBP,0.2954402,0.338495695,-0.043055495,0.01,-4.3055495
SLG,0.365190096535751,0.38873136,-0.023541263464249007,0.02,-1.1770631732124504
BB%,0.0722386,0.0914886778,-0.0192500778,0.01,-1.92500778
K%,0.2240494,0.1968712051,0.027178194900000008,0.015,1.8118796600000007
HR%,0.0247964,0.0212693764,0.0035270235999999983,0.005,0.7054047199999997
1B%,0.15841180000000002,0.1639759983,-0.0055641982999999895,0.01,-0.556419829999999
2B%,0.0387684,0.0400564326,-0.0012880325999999956,0.004,-0.3220081499999989
3B%,0.001225,0.003714551,-0.002489551,0.0015,-1.6597006666666667
BABIP,0.29223845065426224,0.3122366267,-0.01999817604573778,0.012,-1.6665146704781484
