population,rating,n,mean,sd,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9,ge_100_rate,ge_120_rate,ge_130_rate,ge_150_rate,ge_170_rate,ge_200_rate
catcher_player,contact,50000,79.032000,16.010298,13,155,41,53,59,68,79,90,100,105,116,129,0.100160,0.005260,0.000800,0.000040,0,0
catcher_player,power,50000,74.944460,17.934799,1,152,33,46,52,63,75,87,98,104,117,131,0.085220,0.006760,0.001240,0.000040,0,0
catcher_player,discipline,50000,72.971140,16.061733,6,136,36,47,53,62,73,84,94,100,110,123,0.050360,0.002020,0.000260,0,0,0
catcher_player,speed,50000,73.020880,19.631289,0,164,27,41,48,60,73,86,98,105,119,133,0.088840,0.009260,0.001800,0.000060,0,0
catcher_player,defense,50000,83.035460,17.417048,16,155,43,54,61,71,83,95,105,112,124,137,0.172580,0.017780,0.003960,0.000040,0,0
catcher_player,throwing,50000,92.355180,18.329488,14,166,50,62,69,80,92,105,116,123,135,150,0.347500,0.069480,0.021360,0.001100,0,0
catcher_player,stamina,50000,88.121500,16.158444,25,155,50,62,67,77,88,99,109,115,126,137,0.240940,0.025340,0.005120,0.000080,0,0
catcher_player,durability,50000,97.995420,17.894016,22,174,56,69,75,86,98,110,121,128,139.01,154,0.465160,0.115460,0.039400,0.002000,0.000040,0
catcher_player,mentality,50000,72.895980,19.675594,0,160,27,41,48,60,73,86,98,105,119,134,0.088120,0.008940,0.002060,0.000100,0,0
catcher_player,talent,50000,92.606580,25.343742,35,302,48,59,65,76,89,104,125,139,175,231.001,0.314060,0.128240,0.080580,0.031040,0.012960,0.003260
catcher_player,game_calling,50000,85.699600,15.205237,22,151,51,61,66,75,86,96,105,111,121,132,0.180960,0.013380,0.001700,0.000020,0,0
catcher_player,current_ability,50000,78.941518,9.792421,32.733333,124.366667,56.249917,62.833333,66.391667,72.38125,78.9,85.541667,91.533333,95.033333,101.550083,109.500042,0.015520,0.000060,0,0,0,0
catcher_npc,contact,50000,68.959640,14.567798,9,139,35,45,50,59,69,79,88,93,103,114,0.018180,0.000240,0.000020,0,0,0
catcher_npc,power,50000,65.086700,16.430959,0,132,26.99,38,44,54,65,76,86,92,103,116,0.017340,0.000580,0.000040,0,0,0
catcher_npc,discipline,50000,62.985500,14.594760,2,131,29,39,44,53,63,73,82,87,97,108,0.006680,0.000060,0.000020,0,0,0
catcher_npc,speed,50000,63.018720,18.367224,0,136,20,33,40,51,63,75,86,93,106,120.001,0.023640,0.001220,0.000180,0,0,0
catcher_npc,defense,50000,72.997660,15.968235,6,138,36,47,53,62,73,84,93,99,111,123,0.049180,0.001700,0.000280,0,0,0
catcher_npc,throwing,50000,82.332720,16.916786,13,162,43,55,61,71,82,94,104,110,122,134.001,0.154200,0.014260,0.003020,0.000020,0,0
catcher_npc,stamina,50000,78.028360,14.561082,22,138,44,54,59,68,78,88,97,102,112,122.001,0.069240,0.002000,0.000140,0,0,0
catcher_npc,durability,50000,88.001420,16.530569,19,161,49,61,67,77,88,99,109,115,127,139,0.243460,0.028420,0.006060,0.000080,0,0
catcher_npc,mentality,50000,62.842480,18.398709,0,137,20,32,39,50,63,75,86,93,106,120,0.023040,0.001100,0.000080,0,0,0
catcher_npc,talent,50000,92.552320,25.427844,35,278,47,59,65,76,89,104,125,139,174,232.001,0.313780,0.128440,0.080860,0.030920,0.012480,0.003460
catcher_npc,game_calling,50000,82.722360,15.084383,22,146,48,58,63,73,83,93,102,107,118,130,0.134000,0.007220,0.001020,0,0,0
catcher_npc,current_ability,50000,68.940914,6.917671,39.325,94.366667,52.93325,57.575,60.066667,64.275,68.9125,73.6,77.85,80.425,85.025,89.866667,0,0,0,0,0,0
