population,row_stat,contact,power,discipline,speed,defense,throwing,stamina,durability,mentality,velocity,stuff,control,breaking,resilience,talent,game_calling,current_ability
hitter_player,contact,1.000000,0.220517,0.244273,0.181639,0.193849,0.199095,0.243085,0.212664,0.200207,,,,,,0.000378,,0.646282
hitter_player,power,0.220517,1.000000,0.210441,0.101976,0.100757,0.155709,0.213601,0.182198,0.173906,,,,,,-0.000341,,0.598067
hitter_player,discipline,0.244273,0.210441,1.000000,0.187129,0.218044,0.215762,0.246963,0.221053,0.198925,,,,,,0.001709,,0.609253
hitter_player,speed,0.181639,0.101976,0.187129,1.000000,0.259904,0.162292,0.187786,0.140323,0.153356,,,,,,-0.002590,,0.473969
hitter_player,defense,0.193849,0.100757,0.218044,0.259904,1.000000,0.225740,0.213338,0.196855,0.178776,,,,,,-0.002352,,0.532357
hitter_player,throwing,0.199095,0.155709,0.215762,0.162292,0.225740,1.000000,0.214756,0.214348,0.177266,,,,,,-0.003575,,0.437242
hitter_player,stamina,0.243085,0.213601,0.246963,0.187786,0.213338,0.214756,1.000000,0.219642,0.202485,,,,,,0.003262,,0.465428
hitter_player,durability,0.212664,0.182198,0.221053,0.140323,0.196855,0.214348,0.219642,1.000000,0.179665,,,,,,0.000149,,0.428406
hitter_player,mentality,0.200207,0.173906,0.198925,0.153356,0.178776,0.177266,0.202485,0.179665,1.000000,,,,,,-0.001218,,0.456077
hitter_player,talent,0.000378,-0.000341,0.001709,-0.002590,-0.002352,-0.003575,0.003262,0.000149,-0.001218,,,,,,1.000000,,-0.000883
hitter_player,current_ability,0.646282,0.598067,0.609253,0.473969,0.532357,0.437242,0.465428,0.428406,0.456077,,,,,,-0.000883,,1.000000
hitter_npc,contact,1.000000,0.069866,0.074503,0.048920,0.037951,0.048017,0.074581,0.057972,0.056613,,,,,,0.003491,,0.537035
hitter_npc,power,0.069866,1.000000,0.064904,-0.019790,-0.050901,0.022037,0.063293,0.045424,0.048252,,,,,,-0.005221,,0.510141
hitter_npc,discipline,0.074503,0.064904,1.000000,0.055007,0.062251,0.067269,0.080855,0.066759,0.055799,,,,,,-0.000666,,0.481129
hitter_npc,speed,0.048920,-0.019790,0.055007,1.000000,0.152063,0.040009,0.053308,0.017378,0.043884,,,,,,-0.000897,,0.363397
hitter_npc,defense,0.037951,-0.050901,0.062251,0.152063,1.000000,0.087959,0.062682,0.062899,0.048300,,,,,,-0.002760,,0.399111
hitter_npc,throwing,0.048017,0.022037,0.067269,0.040009,0.087959,1.000000,0.065787,0.080455,0.052552,,,,,,-0.003345,,0.261193
hitter_npc,stamina,0.074581,0.063293,0.080855,0.053308,0.062682,0.065787,1.000000,0.068979,0.058143,,,,,,0.001848,,0.255992
hitter_npc,durability,0.057972,0.045424,0.066759,0.017378,0.062899,0.080455,0.068979,1.000000,0.054857,,,,,,0.001702,,0.241997
hitter_npc,mentality,0.056613,0.048252,0.055799,0.043884,0.048300,0.052552,0.058143,0.054857,1.000000,,,,,,0.000867,,0.310814
hitter_npc,talent,0.003491,-0.005221,-0.000666,-0.000897,-0.002760,-0.003345,0.001848,0.001702,0.000867,,,,,,1.000000,,-0.002125
hitter_npc,current_ability,0.537035,0.510141,0.481129,0.363397,0.399111,0.261193,0.255992,0.241997,0.310814,,,,,,-0.002125,,1.000000
pitcher_player,velocity,,,,,,,0.192765,,,1.000000,0.430169,0.036003,0.144357,0.247286,-0.004221,,0.518092
pitcher_player,stuff,,,,,,,0.210798,,,0.430169,1.000000,0.148413,0.285762,0.265811,0.000102,,0.691396
pitcher_player,control,,,,,,,0.266585,,,0.036003,0.148413,1.000000,0.338003,0.289429,-0.001447,,0.638651
pitcher_player,breaking,,,,,,,0.228365,,,0.144357,0.285762,0.338003,1.000000,0.270033,-0.001292,,0.646201
pitcher_player,stamina,,,,,,,1.000000,,,0.192765,0.210798,0.266585,0.228365,0.403036,-0.002461,,0.552330
pitcher_player,resilience,,,,,,,0.403036,,,0.247286,0.265811,0.289429,0.270033,1.000000,-0.002727,,0.563494
pitcher_player,talent,,,,,,,-0.002461,,,-0.004221,0.000102,-0.001447,-0.001292,-0.002727,1.000000,,-0.002733
pitcher_player,current_ability,,,,,,,0.552330,,,0.518092,0.691396,0.638651,0.646201,0.563494,-0.002733,,1.000000
pitcher_npc,velocity,,,,,,,0.010647,,,1.000000,0.279800,-0.182781,-0.059295,0.043199,0.001568,,0.322625
pitcher_npc,stuff,,,,,,,0.008408,,,0.279800,1.000000,-0.064432,0.091476,0.040767,0.001255,,0.563794
pitcher_npc,control,,,,,,,0.112010,,,-0.182781,-0.064432,1.000000,0.196034,0.116381,0.002471,,0.540312
pitcher_npc,breaking,,,,,,,0.062024,,,-0.059295,0.091476,0.196034,1.000000,0.072227,0.000865,,0.532792
pitcher_npc,stamina,,,,,,,1.000000,,,0.010647,0.008408,0.112010,0.062024,0.253100,-0.003177,,0.398522
pitcher_npc,resilience,,,,,,,0.253100,,,0.043199,0.040767,0.116381,0.072227,1.000000,-0.001879,,0.354793
pitcher_npc,talent,,,,,,,-0.003177,,,0.001568,0.001255,0.002471,0.000865,-0.001879,1.000000,,0.001444
pitcher_npc,current_ability,,,,,,,0.398522,,,0.322625,0.563794,0.540312,0.532792,0.354793,0.001444,,1.000000
catcher_player,defense,,,,,1.000000,0.209838,,,,,,,,0.001700,0.273234,0.550540
catcher_player,throwing,,,,,0.209838,1.000000,,,,,,,,0.002256,0.177384,0.451038
catcher_player,talent,,,,,,,,,,,,,,,1.000000,-0.001167,0.000378
catcher_player,game_calling,,,,,0.273234,0.177384,,,,,,,,,-0.001167,1.000000,0.183050
catcher_player,current_ability,,,,,0.550540,0.451038,,,,,,,,,0.000378,0.183050,1.000000
catcher_npc,defense,,,,,1.000000,0.055621,,,,,,,,0.007460,0.237737,0.410320
catcher_npc,throwing,,,,,0.055621,1.000000,,,,,,,,0.004330,0.122708,0.273243
catcher_npc,talent,,,,,,,,,,,,,,,1.000000,0.000641,0.003352
catcher_npc,game_calling,,,,,0.237737,0.122708,,,,,,,,,0.000641,1.000000,0.119744
catcher_npc,current_ability,,,,,0.410320,0.273243,,,,,,,,,0.003352,0.119744,1.000000
