population,diagnostic,count,rate,n
hitter_player,top1_speed_and_bottom1_durability,8,0.00004000,200000
hitter_player,top1_power_and_top1_speed,42,0.00021000,200000
hitter_player,at_least_2_skills_ge_150,0,0,200000
hitter_player,at_least_3_skills_ge_150,0,0,200000
hitter_player,at_least_2_skills_ge_170,0,0,200000
hitter_player,at_least_3_skills_ge_170,0,0,200000
hitter_player,at_least_2_skills_ge_200,0,0,200000
hitter_player,at_least_3_skills_ge_200,0,0,200000
hitter_npc,top1_speed_and_bottom1_durability,15,0.00007500,200000
hitter_npc,top1_power_and_top1_speed,13,0.00006500,200000
hitter_npc,at_least_2_skills_ge_150,0,0,200000
hitter_npc,at_least_3_skills_ge_150,0,0,200000
hitter_npc,at_least_2_skills_ge_170,0,0,200000
hitter_npc,at_least_3_skills_ge_170,0,0,200000
hitter_npc,at_least_2_skills_ge_200,0,0,200000
hitter_npc,at_least_3_skills_ge_200,0,0,200000
pitcher_player,top1_velocity_and_top1_control,32,0.00016000,200000
pitcher_player,top1_velocity_and_top1_stuff,265,0.00132500,200000
pitcher_player,at_least_2_skills_ge_150,0,0,200000
pitcher_player,at_least_3_skills_ge_150,0,0,200000
pitcher_player,at_least_2_skills_ge_170,0,0,200000
pitcher_player,at_least_3_skills_ge_170,0,0,200000
pitcher_player,at_least_2_skills_ge_200,0,0,200000
pitcher_player,at_least_3_skills_ge_200,0,0,200000
pitcher_npc,top1_velocity_and_top1_control,2,0.00001000,200000
pitcher_npc,top1_velocity_and_top1_stuff,123,0.00061500,200000
pitcher_npc,at_least_2_skills_ge_150,0,0,200000
pitcher_npc,at_least_3_skills_ge_150,0,0,200000
pitcher_npc,at_least_2_skills_ge_170,0,0,200000
pitcher_npc,at_least_3_skills_ge_170,0,0,200000
pitcher_npc,at_least_2_skills_ge_200,0,0,200000
pitcher_npc,at_least_3_skills_ge_200,0,0,200000
catcher_player,top1_defense_and_top1_game_calling,14,0.00028000,50000
catcher_player,top1_throwing_and_top1_game_calling,14,0.00028000,50000
catcher_player,at_least_2_skills_ge_150,0,0,50000
catcher_player,at_least_3_skills_ge_150,0,0,50000
catcher_player,at_least_2_skills_ge_170,0,0,50000
catcher_player,at_least_3_skills_ge_170,0,0,50000
catcher_player,at_least_2_skills_ge_200,0,0,50000
catcher_player,at_least_3_skills_ge_200,0,0,50000
catcher_npc,top1_defense_and_top1_game_calling,22,0.00044000,50000
catcher_npc,top1_throwing_and_top1_game_calling,10,0.00020000,50000
catcher_npc,at_least_2_skills_ge_150,0,0,50000
catcher_npc,at_least_3_skills_ge_150,0,0,50000
catcher_npc,at_least_2_skills_ge_170,0,0,50000
catcher_npc,at_least_3_skills_ge_170,0,0,50000
catcher_npc,at_least_2_skills_ge_200,0,0,50000
catcher_npc,at_least_3_skills_ge_200,0,0,50000
