population,rating,n,mean,sd,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9,ge_100_rate,ge_120_rate,ge_130_rate,ge_150_rate,ge_170_rate,ge_200_rate
hitter_player,contact,200000,79.94097500,16.20804464,10,158,42,53,59,69,80,91,101,107,117,130,0.114165,0.006940,0.001065,0.000015,0,0
hitter_player,power,200000,78.67416000,18.54568705,1,169,36,48,55,66,79,91,102,109,122,136,0.130720,0.013800,0.002945,0.000070,0,0
hitter_player,discipline,200000,72.95205500,16.09555890,6,151,35,47,52,62,73,84,94,99,111,123,0.049135,0.001925,0.000225,0.000005,0,0
hitter_player,speed,200000,83.98927000,21.11352303,0,177,35,49,57,70,84,98,111,119,133,148,0.230495,0.046250,0.015155,0.000850,0.000020,0
hitter_player,defense,200000,80.99098500,18.48125358,0,167,37,50,57,69,81,94,105,111,124,137,0.157660,0.017850,0.003820,0.000075,0,0
hitter_player,throwing,200000,84.44627500,18.40895064,1,172,42,54,61,72,84,97,108,115,128,142,0.206030,0.028915,0.007535,0.000265,0.000010,0
hitter_player,stamina,200000,88.01291500,16.14968787,19,154,51,61,67,77,88,99,109,115,126,138,0.238840,0.025750,0.005095,0.000045,0,0
hitter_player,durability,200000,90.92633500,18.08588064,10,177,49,61,68,79,91,103,114,121,133,147,0.317155,0.057160,0.016575,0.000660,0.000020,0
hitter_player,mentality,200000,72.97579000,19.69268732,0,165,27,41,48,60,73,86,98,105,119,134,0.088930,0.009035,0.002135,0.000070,0,0
hitter_player,talent,200000,92.34529500,25.19465650,35,303,47,58.95,65,76,89,104,125,138,173,232,0.312235,0.125340,0.079120,0.029210,0.011690,0.003190
hitter_player,current_ability,200000,79.73953583,9.81634429,33.8,122.03333333,56.95833333,63.63333333,67.15833333,73.11666667,79.74166667,86.36666667,92.31666667,95.86666667,102.60833333,110.20001667,0.019550,0.000010,0,0,0,0
hitter_npc,contact,200000,69.97390500,14.64679911,6,144,36,46,51,60,70,80,89,94,104,115,0.022125,0.000350,0.000040,0,0,0
hitter_npc,power,200000,68.65167000,17.20040250,0,144,29,40,47,57,69,80,91,97,109,122,0.036080,0.001520,0.000210,0,0,0
hitter_npc,discipline,200000,62.95438000,14.55758905,0,130,29,39,44,53,63,73,82,87,97,108,0.006000,0.000070,0.000010,0,0,0
hitter_npc,speed,200000,73.96135000,19.96813026,0,160,28,41,48,60,74,87,100,107,120,135,0.100635,0.010740,0.002475,0.000070,0,0
hitter_npc,defense,200000,70.98885500,17.11780304,0,146,30,43,49,60,71,83,93,99,110,123,0.045870,0.001880,0.000240,0,0,0
hitter_npc,throwing,200000,74.46827000,16.99842032,3,155,35,47,53,63,74,86,96,102,114,128,0.070860,0.004255,0.000715,0.000010,0,0
hitter_npc,stamina,200000,77.94126500,14.57765568,10,141,44,54,59,68,78,88,97,102,112,123,0.069320,0.002115,0.000235,0,0,0
hitter_npc,durability,200000,80.89319000,16.66788354,5,161,42,53,60,70,81,92,102,108,120,133,0.131690,0.010575,0.001945,0.000030,0,0
hitter_npc,mentality,200000,62.96386000,18.41762943,0,146,20,33,39,50,63,75,87,93,106,120,0.024010,0.001110,0.000150,0,0,0
hitter_npc,talent,200000,92.34811000,25.13768445,35,303,47,58,65,76,89,104,125,139,173,229,0.312865,0.125640,0.078885,0.029505,0.011740,0.003015
hitter_npc,current_ability,200000,69.73470912,6.94494439,37.875,102.575,53.69991667,58.325,60.85,65.03333333,69.71666667,74.425,78.65833333,81.15833333,85.85833333,91.27501667,0.000010,0,0,0,0,0
