population,rating,n,mean,sd,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9,ge_100_rate,ge_120_rate,ge_130_rate,ge_150_rate,ge_170_rate,ge_200_rate
pitcher_player,velocity,200000,80.78583000,14.47775021,23,146,48,58,62,71,80,90,100,105,115,126,0.102200,0.004360,0.000445,0,0,0
pitcher_player,stuff,200000,80.32988500,13.25708003,22,138,50,59,63,71,80,89,97,102,111,121,0.074220,0.001525,0.000100,0,0,0
pitcher_player,control,200000,75.81007500,15.40389313,8,139,41,51,56,65,76,86,96,101,112,123,0.063405,0.002415,0.000255,0,0,0
pitcher_player,breaking,200000,78.71484000,14.50938020,18,142,46,55,60,69,79,88,98,103,113,124,0.078670,0.002765,0.000235,0,0,0
pitcher_player,stamina,200000,82.22438000,15.27895951,14,155,48,58,63,72,82,92,102,108,119,132,0.129070,0.009405,0.001565,0.000015,0,0
pitcher_player,resilience,200000,82.03995500,13.30032814,27,140,52,60,65,73,82,91,99,104,114,124,0.095815,0.003115,0.000290,0,0,0
pitcher_player,talent,200000,92.54882500,25.35020663,35,310,47,59,65,76,89,104,125,139,174,235,0.315270,0.127445,0.080530,0.029925,0.012265,0.003445
pitcher_player,current_ability,200000,79.48989670,8.88075957,40.43,118.76,58.9,64.91,68.1,73.49,79.49,85.49,90.85,94.08,100.2,107.15,0.010745,0,0,0,0,0
pitcher_npc,velocity,200000,71.30848000,13.01697892,18,131,43,51,55,62,71,80,89,94,102,112,0.017605,0.000100,0.000010,0,0,0
pitcher_npc,stuff,200000,70.87321500,11.59954700,20,122,44,52,56,63,71,79,86,90,98,107,0.006705,0.000030,0,0,0,0
pitcher_npc,control,200000,66.26673000,14.04034811,10,136,34,43,48,57,66,76,84,90,99,110,0.009490,0.000075,0.000010,0,0,0
pitcher_npc,breaking,200000,69.18760500,13.05289276,17,131,40,48,53,60,69,78,86,91,100,111,0.012115,0.000065,0.000010,0,0,0
pitcher_npc,stamina,200000,72.76551000,13.84619061,16,142,42,51,55,63,72,82,91,96,106,117,0.031010,0.000630,0.000060,0,0,0
pitcher_npc,resilience,200000,72.47830500,11.60773317,25,125,46,54,58,65,72,80,87.1,92,100,110,0.012175,0.000045,0,0,0,0
pitcher_npc,talent,200000,92.45162500,25.23091754,35,300,48,59,65,76,89,104,125,139,173,230,0.314395,0.126770,0.080080,0.030240,0.012070,0.003020
pitcher_npc,current_ability,200000,69.98884910,6.17645726,37.59,99.95,55.62,59.85,62.07,65.82,69.98,74.14,77.91,80.19,84.36,89.38,0,0,0,0,0,0
