population,group_type,group,n,ca_mean,ca_sd,ca_p10,ca_p50,ca_p90,contact_mean,power_mean,speed_mean,defense_mean,throwing_mean,velocity_mean,stuff_mean,control_mean,breaking_mean,stamina_mean,resilience_mean,game_calling_mean
hitter_player,position,1B,22225,78.879911,9.673397,66.458333,78.908333,91.330000,79.205354,85.042970,73.202205,75.979978,79.929359,,,,,,,
hitter_player,position,2B,22225,80.638270,9.822431,68.066667,80.708333,93.180000,82.889089,74.947492,90.087154,86.926749,79.984567,,,,,,,
hitter_player,position,3B,22225,80.039301,9.817940,67.541667,79.975000,92.575000,79.143667,80.937413,84.910866,80.019438,87.055253,,,,,,,
hitter_player,position,C,22225,78.938153,9.835383,66.316667,79.066667,91.583333,78.912036,74.934128,72.959640,83.167019,92.371339,,,,,,,
hitter_player,position,CF,22220,80.544842,9.785329,68.033333,80.500000,93.025833,78.915932,74.878713,94.924752,87.885239,82.918632,,,,,,,
hitter_player,position,DH,22220,78.761775,9.803262,66.108333,78.704167,91.358333,83.900990,85.164131,76.744149,65.013681,79.874482,,,,,,,
hitter_player,position,LF,22220,79.905511,9.908712,67.207500,79.933333,92.659167,78.748290,81.119937,84.901620,80.217282,84.832538,,,,,,,
hitter_player,position,RF,22220,79.871420,9.812974,67.491667,79.783333,92.533333,78.821692,80.989694,85.064086,79.912151,85.057516,,,,,,,
hitter_player,position,SS,22220,80.076744,9.679282,67.616667,80.125000,92.433333,78.931638,70.052700,93.112286,89.796850,87.992439,,,,,,,
hitter_npc,position,1B,22225,68.720626,6.894719,59.925000,68.750000,77.550000,68.903757,75.011069,62.881440,65.804049,70.094938,,,,,,,
hitter_npc,position,2B,22225,70.653751,6.965111,61.708333,70.616667,79.650000,72.870191,65.179753,79.765219,76.968864,69.956400,,,,,,,
hitter_npc,position,3B,22225,70.039637,6.939433,61.183333,70.025000,78.916667,68.922745,71.022722,74.948526,69.984297,77.043555,,,,,,,
hitter_npc,position,C,22225,68.886119,6.874652,60.045000,68.858333,77.683333,69.083330,64.823577,62.830056,73.111766,82.231721,,,,,,,
hitter_npc,position,CF,22220,70.647231,6.919785,61.700000,70.658333,79.491667,68.889334,64.996490,85.258641,78.071827,73.081863,,,,,,,
hitter_npc,position,DH,22220,68.776052,6.948560,59.841667,68.800000,77.725000,73.950540,74.945950,67.064356,54.916742,70.162646,,,,,,,
hitter_npc,position,LF,22220,69.917805,6.908994,61.041667,69.858333,78.766667,69.026688,70.958281,74.908506,69.969352,74.753780,,,,,,,
hitter_npc,position,RF,22220,69.909361,6.865839,61.190833,69.850000,78.775000,69.072862,70.884428,75.030918,70.011791,74.988884,,,,,,,
hitter_npc,position,SS,22220,70.061943,6.853811,61.325000,70.041667,78.933333,69.045725,60.042439,82.967957,80.060576,77.900315,,,,,,,
pitcher_player,archetype,balanced,39920,77.624587,8.782313,66.430000,77.570000,88.900000,,,,,,78.055185,77.039279,77.013803,76.022345,80.012174,80.094689,
pitcher_player,archetype,breaking,32089,80.908941,8.787629,69.510000,80.930000,92.030000,,,,,,76.031381,82.988501,75.008476,90.063698,79.922590,80.148680,
pitcher_player,archetype,command,36053,80.803644,8.840204,69.430000,80.840000,92.120000,,,,,,74.079189,77.024741,89.060994,82.113555,79.995590,80.033811,
pitcher_player,archetype,power,35851,79.254554,8.745324,68.080000,79.330000,90.460000,,,,,,90.021310,85.069343,69.139271,74.183928,80.058269,80.149954,
pitcher_player,archetype,wild_flamethrower,23957,78.567578,8.878845,67.180000,78.430000,89.980000,,,,,,94.088116,87.089953,63.115081,73.118671,78.092416,80.055391,
pitcher_player,archetype,workhorse,32130,79.866373,8.778302,68.610000,79.830000,91.070000,,,,,,76.228820,75.142951,77.155338,76.140367,95.270588,92.185434,
pitcher_npc,archetype,balanced,40259,68.166149,6.049266,60.440000,68.180000,75.870000,,,,,,68.518195,67.595072,67.597456,66.600015,70.582702,70.505179,
pitcher_npc,archetype,breaking,32020,71.491328,6.055806,63.800000,71.470000,79.300000,,,,,,66.605653,73.507870,65.680793,80.630106,70.587133,70.621330,
pitcher_npc,archetype,command,35699,71.335014,6.080851,63.610000,71.360000,79.120000,,,,,,64.505420,67.604107,79.534665,72.641278,70.623239,70.615367,
pitcher_npc,archetype,power,35842,69.664491,6.036140,61.890000,69.700000,77.390000,,,,,,80.517549,75.538447,59.452877,64.537637,70.541041,70.512109,
pitcher_npc,archetype,wild_flamethrower,24283,69.129807,6.076899,61.272000,69.110000,76.940000,,,,,,84.585965,77.736647,53.681382,63.651979,68.645966,70.542602,
pitcher_npc,archetype,workhorse,31897,70.292945,6.041414,62.600000,70.230000,78.090000,,,,,,66.709064,65.557388,67.563658,66.540897,85.740728,82.600840,
catcher_player,archetype,balanced,12457,79.076659,9.771426,66.646667,78.941667,91.708333,,,,83.007787,93.004576,,,,,,,84.910171
catcher_player,archetype,defensive,10996,79.446093,9.799918,66.900000,79.420833,92.041667,,,,87.857766,90.743543,,,,,,,87.702710
catcher_player,archetype,game_manager,10086,78.961167,9.840456,66.404167,79.087500,91.508333,,,,84.147730,90.054432,,,,,,,91.894507
catcher_player,archetype,offensive,7450,77.790903,9.737872,65.240833,77.758333,90.325000,,,,75.948591,88.170738,,,,,,,78.172886
catcher_player,archetype,strong_arm,9011,79.068266,9.729248,66.600000,78.991667,91.616667,,,,81.803351,99.458884,,,,,,,83.635446
catcher_npc,archetype,balanced,12350,68.928690,6.878221,60.075000,68.925000,77.725833,,,,72.750121,82.868664,,,,,,,82.037409
catcher_npc,archetype,defensive,11013,69.452569,6.943490,60.650000,69.383333,78.425000,,,,78.106601,80.634250,,,,,,,84.746027
catcher_npc,archetype,game_manager,9989,68.898803,6.895201,60.050000,68.900000,77.760000,,,,73.926519,79.828712,,,,,,,89.064771
catcher_npc,archetype,offensive,7558,67.824781,6.867739,59.072500,67.733333,76.675000,,,,66.042472,78.019714,,,,,,,75.013363
catcher_npc,archetype,strong_arm,9090,69.311923,6.897875,60.382500,69.350000,78.167500,,,,71.906491,90.000110,,,,,,,80.641254
