cohort,n,raw_mean,raw_sd,raw_p1,raw_p5,raw_p10,raw_p25,raw_p50,raw_p75,raw_p90,raw_p95,raw_p99,kmh_mean,kmh_sd
start18,120000,80.8645,9.9444237563755,61.0,66.0,69.0,74.0,80.0,88.0,95.0,99.0,105.0,141.51731827216017,2.721577228080842
age18,15000,80.8,9.852935536643177,61.0,66.0,69.0,74.0,80.0,88.0,95.0,98.0,104.0,141.49903865773038,2.6949570671812366
age20,15000,85.12893333333334,10.08819248613933,65.0,70.0,73.0,78.0,84.0,92.0,99.0,103.0,109.0,142.68558344933317,2.794817016227431
age22,15000,89.49086666666666,10.372927411797898,68.0,74.0,77.0,82.0,89.0,97.0,104.0,108.0,114.0,143.8950173220942,2.899318667774597
age24,15000,92.45573333333333,10.739397691354657,70.0,76.0,79.0,85.0,92.0,100.0,107.0,111.0,118.0,144.72334183510716,3.010137598328846
age26,15000,94.23573333333333,11.136895071084393,71.0,77.0,80.0,86.0,94.0,102.0,109.0,114.0,121.0,145.22204773898167,3.121291658944554
age28,15000,95.65413333333333,11.577955181520666,71.0,78.0,81.0,87.0,95.0,103.0,111.0,116.0,123.0,145.6190949602005,3.2417784177261177
age30,15000,94.39553333333333,12.07546304851611,69.0,76.0,79.0,86.0,94.0,102.0,111.0,115.0,123.0,145.26817889572757,3.374014419436258
age32,15000,93.14146666666667,12.548299400187448,66.0,74.0,77.0,84.0,92.0,101.0,110.0,115.0,124.0,144.91949277174456,3.497946492839127
age35,15000,86.07806666666667,13.502750110487073,57.0,65.0,69.0,77.0,85.0,95.0,104.0,109.0,120.0,142.97088871656513,3.7177655194434984
age38,15000,75.5376,14.590914269684463,44.0,53.0,57.0,65.0,75.0,85.0,95.0,100.0,113.0,140.13173901634346,3.90482165161728
active20_35,240000,91.60929583333333,12.077755195186725,65.0,73.0,77.0,83.0,91.0,100.0,108.0,112.0,121.0,144.49233578762494,3.3664934265390043
