search,dC,dP,dD,dS,C,P,D,S,offensive_value,AVG,OBP,SLG,OPS
CPD30,0,0,30,0,100,100,130,100,0.3807775,0.29673160987754393,0.392675,0.45650348840575516,0.8491784884057552
CPD30,0,5,25,0,100,105,125,100,0.374623,0.2957525207803708,0.383625,0.4520551858093633,0.8356801858093633
CPD30,0,10,20,0,100,110,120,100,0.37748950000000003,0.2982599622098762,0.377925,0.4687667446910516,0.8466917446910516
CPD30,0,15,15,0,100,115,115,100,0.37852425,0.3002905677246312,0.3739,0.4766707644166294,0.8505707644166294
CPD30,0,20,10,0,100,120,110,100,0.38039100000000003,0.3033468756045657,0.369825,0.48859961860542245,0.8584246186054225
CPD30,0,25,5,0,100,125,105,100,0.37993799999999994,0.3032544378698225,0.36415,0.4945485426254657,0.8586985426254656
CPD30,0,30,0,0,100,130,100,100,0.381334,0.3079890256159509,0.363125,0.4994702958194116,0.8625952958194116
CPD30,5,0,25,0,105,100,125,100,0.374764,0.2979865771812081,0.385475,0.4500356989861488,0.8355106989861488
CPD30,5,5,20,0,105,105,120,100,0.37759325,0.3009842908311476,0.380375,0.4660856812477085,0.8464606812477085
CPD30,5,10,15,0,105,110,115,100,0.37996300000000005,0.3039218422889044,0.376575,0.47762735519888344,0.8542023551988834
CPD30,5,15,10,0,105,115,110,100,0.38044225,0.30509972926681034,0.37115,0.48731974142217804,0.858469741422178
CPD30,5,20,5,0,105,120,105,100,0.3812195,0.30581274311072154,0.36645,0.4946036268010738,0.8610536268010738
CPD30,5,25,0,0,105,125,100,100,0.38468275,0.3119410693413792,0.367175,0.5029220690967409,0.8700970690967409
CPD30,10,0,20,0,110,100,120,100,0.3773075,0.3018612521150592,0.3811,0.4643542019176537,0.8454542019176536
CPD30,10,5,15,0,110,105,115,100,0.37595624999999994,0.30265689035099946,0.374675,0.4690958766622989,0.8437708766622989
CPD30,10,10,10,0,110,110,110,100,0.38034474999999995,0.3053656916733542,0.37245,0.48457259872153197,0.857022598721532
