stat,delta,base_AVG,new_AVG,delta_AVG,base_OBP,new_OBP,delta_OBP,base_SLG,new_SLG,delta_SLG,base_OPS,new_OPS,delta_OPS,base_HR%,new_HR%,delta_HR%,base_BB%,new_BB%,delta_BB%,base_K%,new_K%,delta_K%,base_1B%,new_1B%,delta_1B%,base_2B%,new_2B%,delta_2B%,base_3B%,new_3B%,delta_3B%,base_offensive_value,new_offensive_value,delta_offensive_value,defensive_value_gain
contact,1,0.26115127466434745,0.26252160772333416,0.0013703330589867058,0.32037,0.32166,0.0012900000000000134,0.3987932815132902,0.40116980680792774,0.002376525294637555,0.7191632815132902,0.7228298068079277,0.0036665252946375126,0.0277,0.02792,0.00022000000000000144,0.08015,0.08019,3.999999999999837e-05,0.21348,0.21274,-0.0007399999999999907,0.1709,0.17161,0.0007100000000000162,0.03973,0.04011,0.0003799999999999984,0.00189,0.00183,-5.999999999999994e-05,0.3241264,0.3256123,0.00148590000000004,0.0
contact,5,0.26115127466434745,0.2701921090683743,0.009040834404026865,0.32037,0.32873,0.008360000000000034,0.3987932815132902,0.4140727774818165,0.015279495968526291,0.7191632815132902,0.7428027774818164,0.023639495968526214,0.0277,0.02906,0.00136,0.08015,0.08021,6.0000000000004494e-05,0.21348,0.20983,-0.0036500000000000143,0.1709,0.17626,0.005360000000000004,0.03973,0.04124,0.0015099999999999975,0.00189,0.00196,6.999999999999997e-05,0.3241264,0.3338463,0.009719900000000004,0.0
contact,10,0.26115127466434745,0.27844454590916007,0.017293271244812614,0.32037,0.33627,0.015900000000000025,0.3987932815132902,0.42848911790924704,0.029695836395956854,0.7191632815132902,0.764759117909247,0.04559583639595677,0.0277,0.03055,0.002850000000000002,0.08015,0.08014,-9.999999999996123e-06,0.21348,0.20586,-0.007620000000000016,0.1709,0.18113,0.010230000000000017,0.03973,0.04253,0.002799999999999997,0.00189,0.00192,3.000000000000008e-05,0.3241264,0.34283480000000005,0.01870840000000007,0.0
power,1,0.26115127466434745,0.26279744757639334,0.0016461729120458846,0.32037,0.32184,0.0014700000000000268,0.3987932815132902,0.4020828124490439,0.0032895309357537372,0.7191632815132902,0.723922812449044,0.004759530935753764,0.0277,0.0281,0.00040000000000000105,0.08015,0.08009,-6.0000000000004494e-05,0.21348,0.21358,9.999999999998899e-05,0.1709,0.17175,0.0008500000000000174,0.03973,0.03997,0.00023999999999999716,0.00189,0.00193,4.0000000000000105e-05,0.3241264,0.3260931,0.0019667000000000434,0.0
power,5,0.26115127466434745,0.2681717343077124,0.007020459643364951,0.32037,0.32704,0.006670000000000009,0.3987932815132902,0.41637304797946845,0.01757976646617826,0.7191632815132902,0.7434130479794685,0.02424976646617827,0.0277,0.0304,0.002700000000000001,0.08015,0.08044,0.0002899999999999986,0.21348,0.21338,-0.00010000000000001674,0.1709,0.17297,0.0020700000000000163,0.03973,0.04138,0.0016499999999999987,0.00189,0.00185,-3.999999999999989e-05,0.3241264,0.33385549999999997,0.00972909999999999,0.0
power,10,0.26115127466434745,0.27540077871794316,0.014249504053595707,0.32037,0.33376,0.013390000000000013,0.3987932815132902,0.43318904574424116,0.034395764230950976,0.7191632815132902,0.7669490457442412,0.04778576423095093,0.0277,0.03292,0.005219999999999999,0.08015,0.08054,0.00039000000000000146,0.21348,0.21433,0.0008499999999999897,0.1709,0.17584,0.00494,0.03973,0.0426,0.0028699999999999976,0.00189,0.00186,-2.9999999999999862e-05,0.3241264,0.3430564000000001,0.018930000000000113,0.0
discipline,1,0.26115127466434745,0.2616560537334264,0.00050477906907892,0.32037,0.32285,0.0024800000000000377,0.3987932815132902,0.3985301814375436,-0.0002631000757465918,0.7191632815132902,0.7213801814375436,0.002216899924253335,0.0277,0.02769,-9.999999999999593e-06,0.08015,0.08288,0.0027299999999999963,0.21348,0.21155,-0.001930000000000015,0.1709,0.17157,0.0006700000000000039,0.03973,0.03896,-0.0007699999999999999,0.00189,0.00175,-0.00013999999999999993,0.3241264,0.32516369999999994,0.0010372999999999633,0.0
discipline,5,0.26115127466434745,0.26533905654784773,0.0041877818835002745,0.32037,0.33079,0.010419999999999985,0.3987932815132902,0.4059127685501312,0.00711948703684101,0.7191632815132902,0.7367027685501312,0.01753948703684094,0.0277,0.02851,0.0008100000000000017,0.08015,0.08909,0.008940000000000003,0.21348,0.20467,-0.008810000000000012,0.1709,0.17245,0.0015499999999999958,0.03973,0.03896,-0.0007699999999999999,0.00189,0.00178,-0.00011000000000000007,0.3241264,0.33195339999999995,0.007826999999999973,0.0
discipline,10,0.26115127466434745,0.27090016149370616,0.009748886829358705,0.32037,0.34085,0.020479999999999998,0.3987932815132902,0.4130478065615114,0.014254525048221223,0.7191632815132902,0.7538978065615114,0.034734525048221165,0.0277,0.02819,0.0004900000000000009,0.08015,0.09594,0.01579,0.21348,0.19559,-0.01788999999999999,0.1709,0.17481,0.003909999999999997,0.03973,0.03988,0.00014999999999999736,0.00189,0.00203,0.00014000000000000015,0.3241264,0.3396817,0.015555299999999994,0.0
speed,1,0.26115127466434745,0.26216939272663997,0.0010181180622925168,0.32037,0.32155,0.0011800000000000144,0.3987932815132902,0.4033082477814512,0.0045149662681610025,0.7191632815132902,0.7248582477814511,0.005694966268160906,0.0277,0.02793,0.00023000000000000104,0.08015,0.08048,0.00032999999999999696,0.21348,0.21251,-0.0009699999999999986,0.1709,0.16928,-0.0016199999999999826,0.03973,0.04173,0.0020000000000000018,0.00189,0.00213,0.00023999999999999998,0.3241264,0.3260021,0.0018757000000000357,0.0
