speed,offensive_value,1B%,2B%,3B%,2B_to_1B_downgrade%,3B_conversion%,3B_share_2B3B,1B_to_2B_upgrade%,BB%,K%,HR%,double_candidates,stretch_double_candidates,double_downgrades,triple_conversions,single_to_double_upgrades
40,0.314302,0.19049,0.01951,0.00029,0.7017937219730942,0.00695276912011508,0.014646464646464647,0.0,0.08046,0.21276,0.02807,4171,3122,2191,29,0
50,0.3150001,0.18728,0.02266,0.00032,0.5980613893376413,0.007712701855868884,0.01392515230635335,0.0,0.08017,0.21309,0.02793,4149,3095,1851,32,0
60,0.31617850000000003,0.18387,0.02616,0.00034,0.48394421018488487,0.008208594881699663,0.012830188679245283,0.0,0.07998,0.21318,0.02789,4142,3083,1492,34,0
70,0.3169189,0.18004,0.02975,0.00034,0.36411263916175507,0.008250424654210144,0.011299435028248588,0.0,0.0797,0.21328,0.02785,4121,3054,1112,34,0
80,0.3182945,0.1769,0.03285,0.00041,0.2564186965108624,0.009987819732034105,0.01232711966325917,0.0,0.07962,0.21356,0.02797,4105,3038,779,41,0
90,0.32028840000000003,0.17404,0.03586,0.00093,0.13863337713534823,0.02267739575713241,0.025278608317477577,0.0,0.0796,0.21315,0.02789,4101,3044,422,93,0
100,0.3241264,0.1709,0.03973,0.00189,0.0,0.04541086016338299,0.04541086016338299,0.0,0.08015,0.21348,0.0277,4162,3097,0,189,0
110,0.3364398,0.14991,0.06263,0.00283,0.0,0.06794717887154862,0.0432325084020776,0.13705963619617775,0.08048,0.21251,0.02793,4165,3092,0,283,2381
120,0.3430948,0.13863,0.07515,0.00332,0.0,0.07971188475390156,0.04230916273735186,0.20986035907666,0.08048,0.21251,0.02793,4165,3092,0,332,3682
130,0.3444201,0.13995,0.07472,0.00375,0.0,0.09003601440576231,0.047788963935261886,0.20829326243140805,0.08048,0.21251,0.02793,4165,3092,0,375,3682
140,0.345431,0.14096,0.0744,0.00407,0.0,0.09771908763505402,0.05186695552440423,0.20710991112611093,0.08048,0.21251,0.02793,4165,3092,0,407,3682
150,0.3462989,0.14177,0.07398,0.00449,0.0,0.1078031212484994,0.05721931948515356,0.20617055826194075,0.08048,0.21251,0.02793,4165,3092,0,449,3682
160,0.3469617,0.14244,0.07379,0.00468,0.0,0.11236494597839136,0.059640626991206834,0.20539997768604262,0.08048,0.21251,0.02793,4165,3092,0,468,3682
170,0.3474875,0.14296,0.07361,0.00486,0.0,0.11668667466986794,0.0619344972600994,0.20480587384581156,0.08048,0.21251,0.02793,4165,3092,0,486,3682
