speed,double_candidates,stretch_double_candidates,double_downgrades,2B_to_1B_downgrade%,triple_conversions,single_to_double_upgrades,3B_conversion%,3B_share_2B3B,1B_to_2B_upgrade%
40,4171,3122,2191,0.7017937219730942,29,0,0.00695276912011508,0.014646464646464647,0.0
50,4149,3095,1851,0.5980613893376413,32,0,0.007712701855868884,0.01392515230635335,0.0
60,4142,3083,1492,0.48394421018488487,34,0,0.008208594881699663,0.012830188679245283,0.0
70,4121,3054,1112,0.36411263916175507,34,0,0.008250424654210144,0.011299435028248588,0.0
80,4105,3038,779,0.2564186965108624,41,0,0.009987819732034105,0.01232711966325917,0.0
90,4101,3044,422,0.13863337713534823,93,0,0.02267739575713241,0.025278608317477577,0.0
100,4162,3097,0,0.0,189,0,0.04541086016338299,0.04541086016338299,0.0
110,4165,3092,0,0.0,283,2381,0.06794717887154862,0.0432325084020776,0.13705963619617775
120,4165,3092,0,0.0,332,3682,0.07971188475390156,0.04230916273735186,0.20986035907666
130,4165,3092,0,0.0,375,3682,0.09003601440576231,0.047788963935261886,0.20829326243140805
140,4165,3092,0,0.0,407,3682,0.09771908763505402,0.05186695552440423,0.20710991112611093
150,4165,3092,0,0.0,449,3682,0.1078031212484994,0.05721931948515356,0.20617055826194075
160,4165,3092,0,0.0,468,3682,0.11236494597839136,0.059640626991206834,0.20539997768604262
170,4165,3092,0,0.0,486,3682,0.11668667466986794,0.0619344972600994,0.20480587384581156
