profile,investment,C,P,D,S,offensive_value,AVG,OBP,SLG,OPS
A,contact,135,70,120,100,0.35189616666666673,0.28678990841153,0.36535,0.413459197242981,0.778809197242981
A,power,120,85,120,100,0.361503,0.2917315229825779,0.37055,0.43352774600078764,0.8040777460007876
A,discipline,120,70,135,100,0.358393,0.2825224108888846,0.38238333333333335,0.4042672655811342,0.7866505989144675
B,contact,105,150,90,100,0.40754650000000003,0.32958078696258175,0.3747,0.5546263535970838,0.9293263535970837
B,power,90,165,90,100,0.39394700000000005,0.3141366867921832,0.36006666666666665,0.537494194562538,0.8975608612292046
B,discipline,90,150,105,100,0.39665133333333336,0.31545649033626505,0.37605,0.5246941798167821,0.9007441798167821
C,contact,95,100,150,100,0.3940903333333333,0.3051447326795318,0.41428333333333334,0.46381683011705155,0.8781001634503849
C,power,80,115,150,100,0.39503783333333337,0.30040874637882453,0.41236666666666666,0.46910591690146436,0.881472583568131
C,discipline,80,100,165,100,0.37088283333333333,0.2795209913810224,0.39535,0.4201453707749136,0.8154953707749135
D,contact,155,90,80,100,0.3578443333333333,0.307376401832254,0.34225,0.46462731883676445,0.8068773188367644
D,power,140,105,80,100,0.37274383333333333,0.3144314484214229,0.35036666666666666,0.49313165069035264,0.8434983173570193
D,discipline,140,90,95,100,0.36071900000000007,0.302220468486566,0.3516,0.4585500591885784,0.8101500591885784
E,contact,115,100,100,60,0.345516,0.28862303627018027,0.34491666666666665,0.42523347571128645,0.7701501423779531
E,power,100,115,100,60,0.34698700000000005,0.2854397795663839,0.34303333333333336,0.4314951780146472,0.7745285113479805
E,discipline,100,100,115,60,0.34313,0.2773711752984338,0.35328333333333334,0.4048643313406708,0.7581476646740042
E,speed,100,100,100,75,0.31804733333333335,0.2606371412003479,0.31998333333333334,0.3842055668309655,0.7041889001642989
F,contact,115,100,100,140,0.37395349999999994,0.2973470825131382,0.3515333333333333,0.49767937442435844,0.8492127077576918
F,power,100,115,100,140,0.37406933333333325,0.2932256082131367,0.34828333333333333,0.5022231862054007,0.850506519538734
F,discipline,100,100,115,140,0.3728805,0.2875284376981315,0.3632166666666667,0.4783500540782456,0.8415667207449122
F,speed,100,100,100,155,0.3466356666666667,0.27173637974042875,0.3285166666666667,0.4531470301146018,0.7816636967812685
