speed,first_to_third_opportunities_per_600,first_to_third_success%,first_to_third_value,second_to_home_opportunities_per_600,second_to_home_success%,second_to_home_value,advancement_value
50,19.218000000000004,0.28648142366531376,0.0016516799999999998,10.777199999999999,0.346620643580893,0.00199232,0.003644
60,19.2168,0.3158486324466092,0.00182088,10.776,0.38229398663697106,0.00219712,0.004018
70,19.155600000000003,0.35018480235544697,0.0020123999999999997,10.737599999999999,0.4241171211443898,0.0024288,0.0044412
80,19.1964,0.39332374820278804,0.00226512,10.7736,0.46703051904655823,0.00268352,0.00494864
90,19.314000000000004,0.43808636222429326,0.00253836,10.7904,0.5142348754448398,0.0029593600000000003,0.00549772
100,19.293599999999998,0.48426421196666253,0.00280296,10.788,0.5738598442714127,0.0033017600000000004,0.00610472
110,19.396800000000002,0.5324795842613215,0.00309852,10.760399999999999,0.6240660198505632,0.00358144,0.00667996
120,19.4016,0.5712518555170708,0.00332496,10.743599999999999,0.6670389813470345,0.00382208,0.00714704
130,19.4388,0.6048521513673684,0.00352728,10.6392,0.6998646514775547,0.0039712,0.007498479999999999
140,19.35,0.6340465116279069,0.0036806399999999998,10.5816,0.7306645497845317,0.00412352,0.00780416
150,19.3188,0.6603515746319647,0.00382716,10.6152,0.7502826136106715,0.00424768,0.00807484
160,19.326,0.6776156473144986,0.0039286799999999995,10.6128,0.7657168701944821,0.00433408,0.008262760000000001
170,19.3368,0.6903313888544124,0.00400464,10.6128,0.7758932609678878,0.00439168,0.00839632
