search,sample_pa,dC,dP,dD,dS,C,P,D,S,batting_value,h321_baserunning_value,h321_total_value,OPS
CPDS20,25000,0,0,0,20,100,100,100,120,0.3356800000000001,0.012847958651389615,0.3485279586513897,0.7545204357298475
CPDS20,25000,0,0,5,15,100,100,105,115,0.337414,0.01125171854982462,0.3486657185498246,0.756308047752809
CPDS20,25000,0,0,10,10,100,100,110,110,0.3464911999999999,0.009841284175183929,0.3563324841751838,0.7755495367171583
CPDS20,25000,0,0,15,5,100,100,115,105,0.353672,0.008186111286330528,0.3618581112863305,0.7896955861822087
CPDS20,25000,0,0,20,0,100,100,120,100,0.3547824,0.006715554765730081,0.3614979547657301,0.7887724532552376
CPDS20,25000,0,5,0,15,100,105,100,115,0.3439684,0.01125171854982462,0.3552201185498246,0.7753707193524522
CPDS20,25000,0,5,5,10,100,105,105,110,0.3432172,0.009841284175183929,0.35305848417518393,0.7695397153400105
CPDS20,25000,0,5,10,5,100,105,110,105,0.3495328,0.008186111286330528,0.3577189112863305,0.7810762539907768
CPDS20,25000,0,5,15,0,100,105,115,100,0.3540939999999999,0.006715554765730081,0.36080955476573,0.7893323241127813
CPDS20,25000,0,10,0,10,100,110,100,110,0.3455540000000001,0.009841284175183929,0.355395284175184,0.7780779028043895
CPDS20,25000,0,10,5,5,100,110,105,105,0.3456711999999999,0.008186111286330528,0.3538573112863304,0.7743535410267661
CPDS20,25000,0,10,10,0,100,110,110,100,0.3534756,0.006715554765730081,0.3601911547657301,0.7905570688666343
CPDS20,25000,0,15,0,5,100,115,100,105,0.3507872000000001,0.008186111286330528,0.3589733112863306,0.789461809145996
CPDS20,25000,0,15,5,0,100,115,105,100,0.3576419999999999,0.006715554765730081,0.36435755476573,0.8025597888996394
CPDS20,25000,0,20,0,0,100,120,100,100,0.3601496,0.006715554765730081,0.3668651547657301,0.810971697373579
CPDS20,25000,5,0,0,15,105,100,100,115,0.3444372,0.01125171854982462,0.3556889185498246,0.7762776854470307
CPDS20,25000,5,0,5,10,105,100,105,110,0.3435696,0.009841284175183929,0.3534108841751839,0.770380464055441
