speed,DP_opportunities_per_600,DP_completed_per_600,DP_avoided_per_600,DP_completion%,dp_avoidance_value
50,39.0828,23.576400000000003,15.5064,0.6032423470171021,-0.006482448815234468
60,39.1092,22.510800000000003,16.5984,0.5755883526126845,-0.0056937088660169635
70,39.162,20.953200000000002,18.2088,0.5350390684847556,-0.004536868967581959
80,39.260400000000004,19.188000000000002,20.0724,0.4887367423663539,-0.003215180065953086
90,39.1716,17.0472,22.124399999999998,0.43519284379499434,-0.0016698144405937773
100,39.111599999999996,14.952,24.1596,0.38229067591200566,-0.00014992523426991857
110,38.946,12.9588,25.9872,0.3327376367277769,0.0012659641751839282
120,38.982,11.1192,27.8628,0.2852393412344159,0.0026249586513896134
130,38.8548,9.711599999999999,29.143199999999997,0.24994595262361408,0.0036220261687961927
140,38.8476,8.6568,30.1908,0.22284002100515862,0.004393555273555055
150,38.952000000000005,7.941599999999999,31.0104,0.20388170055452864,0.004946903254551543
160,38.949600000000004,7.3824000000000005,31.5672,0.18953724813605274,0.005356319622804497
170,38.9172,6.978,31.9392,0.17930375258240572,0.00564392059421938
