speed,batting_value,steal_value,advancement_value,dp_avoidance_value,total_baserunning_value,total_value,delta_from_previous_10,SB_attempts_per_600,SB_per_600,CS_per_600,SB_success%,first_to_third_success%,second_to_home_success%,DP_completion%
50,0.3150001,-7.519999999999998e-06,0.003644,-0.006482448815234468,-0.0028459688152344675,0.31215413118476554,,0.044399999999999995,0.0228,0.0216,0.5135135135135135,0.28648142366531376,0.346620643580893,0.6032423470171021
60,0.31617850000000003,-3.3e-05,0.004018,-0.0056937088660169635,-0.0017087088660169636,0.31446979113398305,0.002315659949217508,0.1428,0.0648,0.078,0.453781512605042,0.3158486324466092,0.38229398663697106,0.5755883526126845
70,0.3169189,-0.00010635999999999999,0.0044412,-0.004536868967581959,-0.00020202896758195893,0.316716871032418,0.0022470798984349782,0.8304,0.4596,0.37079999999999996,0.5534682080924855,0.35018480235544697,0.4241171211443898,0.5350390684847556
80,0.3182945,-0.00017231999999999995,0.00494864,-0.003215180065953086,0.0015611399340469136,0.3198556399340469,0.0031387689016288967,3.1956,1.998,1.1976,0.6252346977093504,0.39332374820278804,0.46703051904655823,0.4887367423663539
90,0.32028840000000003,0.0001172800000000002,0.00549772,-0.0016698144405937773,0.003945185559406223,0.32423358555940623,0.004377945625359314,6.817200000000001,4.7316,2.0856,0.694067945784193,0.43808636222429326,0.5142348754448398,0.43519284379499434
100,0.3241264,0.0007607600000000002,0.00610472,-0.00014992523426991857,0.006715554765730081,0.3308419547657301,0.00660836920632385,10.7304,8.0052,2.7252,0.7460299709237307,0.48426421196666253,0.5738598442714127,0.38229067591200566
110,0.3364398,0.0018953600000000002,0.00667996,0.0012659641751839282,0.009841284175183929,0.34628108417518394,0.015439129409453856,14.6364,11.7492,2.8872,0.8027383782897434,0.5324795842613215,0.6240660198505632,0.3327376367277769
120,0.3430948,0.003075960000000001,0.00714704,0.0026249586513896134,0.012847958651389615,0.3559427586513896,0.00966167447620564,18.1968,15.303600000000001,2.8931999999999998,0.8410050118702189,0.5712518555170708,0.6670389813470345,0.2852393412344159
130,0.3444201,0.004150560000000001,0.007498479999999999,0.0036220261687961927,0.015271066168796192,0.3596911661687962,0.0037484075174066267,20.9928,18.2376,2.7552,0.8687550017148736,0.6048521513673684,0.6998646514775547,0.24994595262361408
140,0.345431,0.00493476,0.00780416,0.004393555273555055,0.017132475273555055,0.36256347527355504,0.00287230910475883,22.9176,20.300400000000003,2.6172000000000004,0.8857995601633679,0.6340465116279069,0.7306645497845317,0.22284002100515862
150,0.3462989,0.005423400000000001,0.00807484,0.004946903254551543,0.018445143254551544,0.36474404325455156,0.0021805679809965284,23.9148,21.448800000000002,2.4659999999999997,0.8968839379798283,0.6603515746319647,0.7502826136106715,0.20388170055452864
160,0.3469617,0.0057033200000000004,0.008262760000000001,0.005356319622804497,0.0193223996228045,0.3662840996228045,0.00154005636825294,24.39,22.0416,2.3484,0.9037146371463715,0.6776156473144986,0.7657168701944821,0.18953724813605274
170,0.3474875,0.00586048,0.00839632,0.00564392059421938,0.01990072059421938,0.3673882205942194,0.0011041209714148792,24.6048,22.3392,2.2656,0.9079204057744831,0.6903313888544124,0.7758932609678878,0.17930375258240572
