speed,h32_attempts_per_600,h321_attempts_per_600,h32_SB_per_600,h321_SB_per_600,h32_CS_per_600,h321_CS_per_600,h32_success%,h321_success%,h32_steal_value,h321_steal_value
50,3.444,0.044399999999999995,1.74,0.0228,1.704,0.0216,0.5052264808362369,0.5135135135135135,-0.0006128,-7.519999999999998e-06
60,4.296,0.1428,2.346,0.0648,1.95,0.078,0.5460893854748603,0.453781512605042,-0.000583,-3.3e-05
70,5.682,0.8304,3.366,0.4596,2.316,0.37079999999999996,0.5923970432946146,0.5534682080924855,-0.0004992,-0.00010635999999999999
80,7.902,3.1956,4.98,1.998,2.922,1.1976,0.6302201974183751,0.6252346977093504,-0.0003854,-0.00017231999999999995
90,11.166,6.817200000000001,7.614,4.7316,3.552,2.0856,0.6818914562063407,0.694067945784193,5.16e-05,0.0001172800000000002
100,15.342,10.7304,11.496,8.0052,3.846,2.7252,0.7493156042236997,0.7460299709237307,0.0011398,0.0007607600000000002
110,18.69,14.6364,14.988,11.7492,3.702,2.8872,0.8019261637239166,0.8027383782897434,0.0024046,0.0018953600000000002
120,22.26,18.1968,18.84,15.303600000000001,3.42,2.8931999999999998,0.8463611859838275,0.8410050118702189,0.003886,0.003075960000000001
130,25.872,20.9928,22.65,18.2376,3.222,2.7552,0.8754638218923934,0.8687550017148736,0.0052946,0.004150560000000001
140,28.824,22.9176,25.614,20.300400000000003,3.21,2.6172000000000004,0.8886344712739384,0.8857995601633679,0.006291,0.00493476
150,30.702,23.9148,27.618,21.448800000000002,3.084,2.4659999999999997,0.8995505178815713,0.8968839379798283,0.0070472,0.005423400000000001
160,31.68,24.39,28.668,22.0416,3.012,2.3484,0.9049242424242424,0.9037146371463715,0.0074476,0.0057033200000000004
170,32.136,24.6048,29.208,22.3392,2.928,2.2656,0.9088872292755787,0.9079204057744831,0.0076864,0.00586048
