search,sample_pa,dC,dP,dD,dS,C,P,D,S,batting_value,baserunning_value,total_value,OPS,SB_per_600,CS_per_600
CPDS20,25000,0,0,0,20,100,100,100,120,0.3356800000000001,0.003912800000000001,0.3395928000000001,0.7545204357298475,18.744,3.336
CPDS20,25000,0,0,5,15,100,100,105,115,0.337414,0.0033248,0.3407388,0.756308047752809,17.232,3.4560000000000004
CPDS20,25000,0,0,10,10,100,100,110,110,0.34649119999999994,0.003006400000000001,0.34949759999999996,0.7755495367171583,17.183999999999997,3.888
CPDS20,25000,0,0,15,5,100,100,115,105,0.35367200000000004,0.0024336,0.3561056,0.7896955861822087,15.768,4.032
CPDS20,25000,0,0,20,0,100,100,120,100,0.3547824,0.0016584000000000004,0.3564408,0.7887724532552376,13.896,4.248
CPDS20,25000,0,5,0,15,100,105,100,115,0.34396840000000006,0.0033048,0.34727320000000006,0.7753707193524522,16.919999999999998,3.336
CPDS20,25000,0,5,5,10,100,105,105,110,0.3432172,0.0028672000000000007,0.3460844,0.7695397153400105,16.464,3.7439999999999998
CPDS20,25000,0,5,10,5,100,105,110,105,0.3495328,0.0023832,0.35191599999999995,0.7810762539907768,15.264000000000001,3.8640000000000003
CPDS20,25000,0,5,15,0,100,105,115,100,0.35409399999999996,0.0016720000000000005,0.35576599999999997,0.7893323241127813,13.584,4.08
CPDS20,25000,0,10,0,10,100,110,100,110,0.3455540000000001,0.0027896,0.3483436000000001,0.7780779028043895,16.080000000000002,3.6719999999999997
CPDS20,25000,0,10,5,5,100,110,105,105,0.34567119999999996,0.0024296000000000005,0.34810079999999993,0.7743535410267661,15.0,3.6719999999999997
CPDS20,25000,0,10,10,0,100,110,110,100,0.35347560000000006,0.0016992,0.35517480000000007,0.7905570688666343,13.464,3.984
CPDS20,25000,0,15,0,5,100,115,100,105,0.3507872000000001,0.0023752000000000005,0.3531624000000001,0.789461809145996,14.735999999999999,3.624
CPDS20,25000,0,15,5,0,100,115,105,100,0.35764199999999996,0.0016752000000000004,0.35931719999999995,0.8025597888996394,13.392,3.984
CPDS20,25000,0,20,0,0,100,120,100,100,0.36014960000000007,0.0016336000000000002,0.3617832000000001,0.810971697373579,12.864,3.7920000000000003
CPDS20,25000,5,0,0,15,105,100,100,115,0.3444372,0.0033600000000000006,0.3477972,0.7762776854470307,17.136,3.36
