speed,SB_per_600,CS_per_600,SB_attempts_per_600,SB_success%,baserunning_value,batting_value,total_offensive_value,OBP,OPS
50,1.7399999999999998,1.704,3.4440000000000004,0.5052264808362369,-0.0006128,0.3150001,0.3143873,0.31836,0.6937337103595229
60,2.346,1.95,4.295999999999999,0.5460893854748603,-0.000583,0.31617850000000003,0.31559550000000003,0.31824,0.6973295850090215
70,3.366,2.3160000000000003,5.6819999999999995,0.5923970432946146,-0.0004992,0.3169189,0.3164197,0.31768,0.7001205085298272
80,4.98,2.922,7.901999999999999,0.6302201974183751,-0.00038539999999999994,0.3182945,0.3179091,0.31775,0.7042316706143115
90,7.614,3.552,11.166,0.6818914562063407,5.160000000000025e-05,0.32028840000000003,0.32034,0.31832,0.7095738026944807
100,11.496,3.846,15.341999999999999,0.7493156042236997,0.0011398000000000007,0.3241264,0.3252662,0.32037,0.7191632815132902
110,14.988,3.702,18.69,0.8019261637239166,0.0024046000000000002,0.3364398,0.3388444,0.32378,0.7537652096746128
120,18.84,3.42,22.26,0.8463611859838275,0.003886,0.3430948,0.3469808,0.32551,0.7720581990603794
130,22.65,3.222,25.872,0.8754638218923934,0.0052946,0.3444201,0.3497147,0.32683,0.7752813659300505
140,25.614,3.21,28.823999999999998,0.8886344712739384,0.0062910000000000015,0.345431,0.351722,0.32784,0.7777377727510005
150,27.618000000000002,3.0839999999999996,30.702,0.8995505178815713,0.0070472,0.3462989,0.3533461,0.32865,0.779885427179398
160,28.668000000000003,3.012,31.68,0.9049242424242424,0.0074475999999999995,0.3469617,0.3544093,0.32932,0.7814906977553506
170,29.208000000000002,2.928,32.136,0.9088872292755787,0.007686400000000001,0.3474875,0.3551739,0.32984,0.7827719645032192
